Page - https://en.wikipedia.org/wiki/1954_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Argentine Grand Prix, Buenos Aires, 17 January, Giuseppe Farina, José Froilán González, Juan Manuel Fangio, Maserati, P, Report, 
2, Indianapolis 500, Indianapolis, 31 May, Jack McGrath, Jack McGrath, Bill Vukovich, Kurtis Kraft-Offenhauser, F, Report, 
3, Belgian Grand Prix, Spa-Francorchamps, 20 June, Juan Manuel Fangio, Juan Manuel Fangio, Juan Manuel Fangio, Maserati, P, Report, 
4, French Grand Prix, Reims, 4 July, Juan Manuel Fangio, Hans Herrmann, Juan Manuel Fangio, Mercedes, C, Report, 
5, British Grand Prix, Silverstone, 17 July, Juan Manuel Fangio, Alberto Ascari Jean Behra Juan Manuel Fangio José Froilán González Mike Hawthorn Onofre Marimón Stirling Moss, José Froilán González, Ferrari, P, Report, 
6, German Grand Prix, Nürburgring, 1 August, Juan Manuel Fangio, Karl Kling, Juan Manuel Fangio, Mercedes, C, Report, 
7, Swiss Grand Prix, Bremgarten, 22 August, José Froilán González, Juan Manuel Fangio, Juan Manuel Fangio, Mercedes, C, Report, 
8, Italian Grand Prix, Monza, 5 September, Juan Manuel Fangio, José Froilán González, Juan Manuel Fangio, Mercedes, C, Report, 
9, Spanish Grand Prix, Pedralbes, 24 October, Alberto Ascari, Alberto Ascari, Mike Hawthorn, Ferrari, P, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Officine Alfieri Maserati, Maserati, 250FA6GCM, Maserati 250F1 2.5 L6Maserati A6 2.0 L6, P, Juan Manuel Fangio, 1, 3, 
Onofre Marimón, 1, 3–6, 
Luigi Musso, 1, 8–9, 
Prince Bira, 1, 
Sergio Mantovani, 3–4, 6–9, 
Alberto Ascari, 4–5, 
Luigi Villoresi, 4–6, 8, 
Roberto Mieres, 7–9, 
Stirling Moss, 7–9, 
Harry Schell, 7, 
Louis Rosier, 8, 
Paco Godia, 9, 
Scuderia Ferrari, Ferrari, 625553500, Ferrari 625 2.5 L4Ferrari 554 2.5 L4Ferrari 500 2.0 L4, P, Giuseppe Farina, 1, 3, 
José Froilán González, 1, 3–8, 
Mike Hawthorn, 1, 3–9, 
Umberto Maglioli, 1, 7–8, 
Maurice Trintignant, 3–9, 
Piero Taruffi, 6, 
Robert Manzon, 7, 
Alberto Ascari, 8, 
Equipe Gordini, Gordini, T16, Gordini 23 2.5 L6, E, Jean Behra, 1, 3–9, 
Élie Bayol, 1, 
Roger Loyer, 1, 
Paul Frère, 3–4, 6, 
André Pilette, 3, 5–6, 
Jacques Pollet, 4, 9, 
Clemar Bucci, 5–8, 
Fred Wacker, 7–8, 
Ecurie Rosier, FerrariMaserati, 500625250F, Ferrari 500 2.0 L4Ferrari 625 2.5 L4Maserati 250F1 2.5 L6, DP, Louis Rosier, 1, 4–6, 9, 
Maurice Trintignant, 1, 
Robert Manzon, 4–6, 8–9, 
Harry Schell, Maserati, A6GCM250F, Maserati A6 2.0 L6Maserati 250F1 2.5 L6, P, Harry Schell, 1, 4–6, 9, 
Emmanuel de Graffenried, Maserati, A6GCM, Maserati A6 2.0 L6, P, Toulo de Graffenried, 1, 9, 
Ottorino Volonterio, 9, 
Roberto Mieres, Maserati, A6GCM250F, Maserati A6 2.0 L6Maserati 250F1 2.5 L6, P, Roberto Mieres, 1, 3–6, 
Jorge Daponte, Maserati, A6GCM, Maserati A6 2.0 L6, P, Jorge Daponte, 1, 8, 
Onofre Marimón, Maserati, A6GCM, Maserati A6 2.0 L6, P, Carlos Menditeguy, 1, 
Ecurie Francorchamps, Ferrari, 500, Ferrari 500 2.0 L4, E, Jacques Swaters, 3, 7, 9, 
Prince Bira, Maserati, 250F, Maserati 250F1 2.5 L6, P, Prince Bira, 3–6, 9, 
D, Ron Flockhart, 5, 
Equipe Moss A.E. Moss, Maserati, 250F, Maserati 250F1 2.5 L6, P, Stirling Moss, 3, 5–6, 
Daimler Benz AG, Mercedes, W196, Mercedes M196 2.5 L8, C, Juan Manuel Fangio, 4–9, 
Karl Kling, 4–9, 
Hans Herrmann, 4, 6–9, 
Hermann Lang, 6, 
Georges Berger, Gordini, T16, Gordini 23 2.5 L6, E, Georges Berger, 4, 
HW Motors, HWM-Alta, 53, Alta GP 2.5 L4, D, Lance Macklin, 4, 
Owen Racing Organisation, Maserati, 250F, Maserati 250F1 2.5 L6, D, Ken Wharton, 4–7, 9, 
Guerino Bertocchi, 9, 
Gilby Engineering, Maserati, 250F, Maserati 250F1 2.5 L6, D, Roy Salvadori, 4–5, 
Scuderia Ambrosiana, Ferrari, 500, Ferrari 500 2.0 L4, A, Reg Parnell, 5, 
G.A. Vandervell Vandervell Products, Vanwall, Special, Vanwall 254 2.5 L4, P, Peter Collins, 5, 8–9, 
Peter Whitehead, Cooper-Alta, T24, Alta GP 2.5 L4, D, Peter Whitehead, 5, 
Bill Whitehouse, Connaught-Lea-Francis, A, Lea-Francis 2.0 L4, D, Bill Whitehouse, 5, 
Leslie Marr, Connaught-Lea-Francis, A, Lea-Francis 2.0 L4, D, Leslie Marr, 5, 
R.R.C. Walker Racing Team, Connaught-Lea-Francis, A, Lea-Francis 2.0 L4, D, John Riseley-Prichard, 5, 
Sir Jeremy Boles, Connaught-Lea-Francis, A, Lea-Francis 2.0 L4, D, Don Beauman, 5, 
Ecurie Ecosse, Connaught-Lea-Francis, A, Lea-Francis 2.0 L4, D, Leslie Thorne, 5, 
R.J. Chase, Cooper-Bristol, T23, Bristol BS1 2.0 L6, D, Alan Brown, 5, 
Gould's Garage (Bristol), Cooper-Bristol, T23, Bristol BS1 2.0 L6, D, Horace Gould, 5, 
Bob Gerard, Cooper-Bristol, T23, Bristol BS1 2.0 L6, D, Bob Gerard, 5, 
Ecurie Richmond, Cooper-Bristol, T23, Bristol BS1 2.0 L6, D, Eric Brandon, 5, 
Rodney Nuckey, 5, 
Hans Klenk, Klenk-BMW, Meteor, BMW 328 2.0 L6, P, Theo Helfrich, 6, 
Giovanni de Riu, Maserati, A6GCM, Maserati A6 2.0 L6, P, Giovanni de Riu, 8, 
Scuderia Lancia, Lancia, D50, Lancia DS50 2.5 V8, P, Alberto Ascari, 9, 
Luigi Villoresi, 9, 

Pos., Driver, ARG, 500‡, BEL, FRA, GBR, GER, SUI, ITA, ESP, Pts., 
1, Juan Manuel Fangio, 1, , 1, 1, (4), 1, 1, (1), (3), 42 (​57 1⁄7), 
2, José Froilán González, 3, , (4)†, Ret, 1, 2†, 2, 3† / Ret, , ​25 1⁄7 (​26 9⁄14), 
3, Mike Hawthorn, DSQ, , 4†, Ret, 2, 2†, Ret, 2, 1, ​24 9⁄14, 
4, Maurice Trintignant, 4, , 2, Ret, 5, 3, Ret, 5, Ret, 17, 
5, Karl Kling, , , , 2, 7, 4, Ret, Ret, 5, 12, 
6, Bill Vukovich, , 1, , , , , , , , 8, 
7, Hans Herrmann, , , , Ret, , Ret, 3, 4, Ret, 8, 
8, Luigi Musso, DNS, , , , , , , Ret, 2, 6, 
9, Nino Farina, 2, , Ret, , , , , , , 6, 
10, Jimmy Bryan, , 2, , , , , , , , 6, 
11, Roberto Mieres, Ret, , Ret, Ret, 6, Ret, 4, Ret, 4, 6, 
12, Jack McGrath, , 3, , , , , , , , 5, 
13, Stirling Moss, , , 3, , Ret, Ret, Ret, 10, Ret, ​4 1⁄7, 
14, Onofre Marimón, Ret, , Ret, Ret, 3, DNS, , , , ​4 1⁄7, 
15, Robert Manzon, , , , 3, Ret, 9, DNS, Ret, Ret, 4, 
16, Sergio Mantovani, , , 7, , , 5, 5, 9, Ret, 4, 
17, Prince Bira, 7, , 6, 4, Ret†, Ret, , , 9, 3, 
18, Umberto Maglioli, 9, , , , , , 7, 3†, , 2, 
19, André Pilette, , , 5, , 9, Ret, , , , 2, 
20, Luigi Villoresi, , , , 5, Ret†, DNS, , Ret, Ret, 2, 
21, Élie Bayol, 5, , , , , , , , , 2, 
22, Mike Nazaruk, , 5, , , , , , , , 2, 
23, Troy Ruttman, , 4†, , , , , , , , ​1 1⁄2, 
24, Duane Carter, , 4† / 15†, , , , , , , , ​1 1⁄2, 
25, Alberto Ascari, , , , Ret, Ret / Ret†, , , Ret, Ret, ​1 1⁄7, 
26, Jean Behra, DSQ, , Ret, 6, Ret, 10, Ret, Ret, Ret, ​1⁄7, 
—, Harry Schell, 6, , , Ret, 12, 7, Ret, , Ret, 0, 
—, Ken Wharton, , , , Ret, 8, DNS, 6, , 8, 0, 
—, Fred Wacker, , , , , , , Ret, 6, , 0, 
—, Fred Agabashian, , 6, , , , , , , , 0, 
—, Piero Taruffi, , , , , , 6, , , , 0, 
—, Paco Godia, , , , , , , , , 6, 0, 
—, Louis Rosier, Ret, , , Ret, Ret, 8, , 8, 7, 0, 
—, Peter Collins, , , , , Ret, , , 7, DNS, 0, 
—, Don Freeland, , 7, , , , , , , , 0, 
—, Jacques Swaters, , , Ret, , , , 8, , Ret, 0, 
—, Toulo de Graffenried, 8, , , , , , , , Ret†, 0, 
—, Paul Russo, , 8, , , , , , , , 0, 
—, Larry Crockett, , 9, , , , , , , , 0, 
—, Cal Niday, , 10, , , , , , , , 0, 
—, Bob Gerard, , , , , 10, , , , , 0, 
—, Jorge Daponte, Ret, , , , , , , 11, , 0, 
—, Art Cross, , 11, , , , , , , , 0, 
—, Don Beauman, , , , , 11, , , , , 0, 
—, Chuck Stevenson, , 12, , , , , , , , 0, 
—, Manny Ayulo, , 13, , , , , , , , 0, 
—, Leslie Marr, , , , , 13, , , , , 0, 
—, Bob Sweikert, , 14, , , , , , , , 0, 
—, Leslie Thorne, , , , , 14, , , , , 0, 
—, Horace Gould, , , , , 15, , , , , 0, 
—, Jimmy Jackson, , 15†, , , , , , , , 0, 
—, Ernie McCoy, , 16, , , , , , , , 0, 
—, Jimmy Reece, , 17, , , , , , , , 0, 
—, Ed Elisian, , 18, , , , , , , , 0, 
—, Frank Armi, , 19, , , , , , , , 0, 
—, Clemar Bucci, , , , , Ret, Ret, Ret, Ret, , 0, 
—, Paul Frère, , , Ret, Ret, , Ret, , , , 0, 
—, Roy Salvadori, , , , Ret, Ret, , , , , 0, 
—, Jacques Pollet, , , , Ret, , , , , Ret, 0, 
—, Roger Loyer, Ret, , , , , , , , , 0, 
—, Sam Hanks, , Ret, , , , , , , , 0, 
—, Pat O'Connor, , Ret, , , , , , , , 0, 
—, Rodger Ward, , Ret, , , , , , , , 0, 
—, Gene Hartley, , Ret, , , , , , , , 0, 
—, Andy Linden, , Ret, , , , , , , , 0, 
—, Johnny Thomson, , Ret, , , , , , , , 0, 
—, Jerry Hoyt, , Ret, , , , , , , , 0, 
—, Jimmy Daywalt, , Ret, , , , , , , , 0, 
—, Tony Bettenhausen, , Ret, , , , , , , , 0, 
—, Spider Webb, , Ret, , , , , , , , 0, 
—, Bill Homeier, , Ret, , , , , , , , 0, 
—, Johnnie Parsons, , Ret, , , , , , , , 0, 
—, Len Duncan, , Ret, , , , , , , , 0, 
—, Pat Flaherty, , Ret†, , , , , , , , 0, 
—, Jim Rathmann, , Ret†, , , , , , , , 0, 
—, Lance Macklin, , , , Ret, , , , , , 0, 
—, Georges Berger, , , , Ret, , , , , , 0, 
—, Bill Whitehouse, , , , , Ret, , , , , 0, 
—, John Riseley-Prichard, , , , , Ret, , , , , 0, 
—, Reg Parnell, , , , , Ret, , , , , 0, 
—, Peter Whitehead, , , , , Ret, , , , , 0, 
—, Eric Brandon, , , , , Ret, , , , , 0, 
—, Ron Flockhart, , , , , Ret†, , , , , 0, 
—, Hermann Lang, , , , , , Ret, , , , 0, 
—, Theo Helfrich, , , , , , Ret, , , , 0, 
—, Ottorino Volonterio, , , , , , , , , Ret†, 0, 
—, Alan Brown, , , , , DNS, , , , , 0, 
—, Rodney Nuckey, , , , , DNS, , , , , 0, 
—, Giovanni de Riu, , , , , , , , DNQ, , 0, 
Pos., Driver, ARG, 500‡, BEL, FRA, GBR, GER, SUI, ITA, ESP, Pts., 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Race Name, Circuit, Date, Winning driver, Constructor, Report, 
IV Gran Premio di Siracusa, Syracuse, 11 April, Nino Farina, Ferrari, Report, 
XV Pau Grand Prix, Pau, 19 April, Jean Behra, Gordini, Report, 
