Page - https://en.wikipedia.org/wiki/1956_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Argentine Grand Prix, Buenos Aires, 22 January, Juan Manuel Fangio, Juan Manuel Fangio, Luigi Musso Juan Manuel Fangio, Ferrari, E, Report, 
2, Monaco Grand Prix, Monaco, 13 May, Juan Manuel Fangio, Juan Manuel Fangio, Stirling Moss, Maserati, P, Report, 
3, Indianapolis 500, Indianapolis, 30 May, Pat Flaherty, Paul Russo, Pat Flaherty, Watson-Offenhauser, F, Report, 
4, Belgian Grand Prix, Spa-Francorchamps, 3 June, Juan Manuel Fangio, Stirling Moss, Peter Collins, Ferrari, E, Report, 
5, French Grand Prix, Reims, 1 July, Juan Manuel Fangio, Juan Manuel Fangio, Peter Collins, Ferrari, E, Report, 
6, British Grand Prix, Silverstone, 14 July, Stirling Moss, Stirling Moss, Juan Manuel Fangio, Ferrari, E, Report, 
7, German Grand Prix, Nürburgring, 5 August, Juan Manuel Fangio, Juan Manuel Fangio, Juan Manuel Fangio, Ferrari, E, Report, 
8, Italian Grand Prix, Monza, 2 September, Juan Manuel Fangio, Stirling Moss, Stirling Moss, Maserati, P, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Officine Alfieri Maserati, Maserati, 250F, Maserati 250F1 2.5 L6, P, Stirling Moss, 1–2, 4–8, 
Jean Behra, 1–2, 4–8, 
Carlos Menditeguy, 1, 
Luigi Piotti, 1, 
Chico Landi, 1, 
Gerino Gerini, 1, 
José Froilán González, 1, 
Cesare Perdisa, 2, 4–7, 
Paco Godia, 4–8, 
Piero Taruffi, 5, 
Umberto Maglioli, 7–8, 
Luigi Villoresi, 8, 
Jo Bonnier, 8, 
Owen Racing Organisation, MaseratiBRM, 250FP25, Maserati 250F1 2.5 L6BRM P25 2.5 L4, PD, Mike Hawthorn, 1–2, 6, 
Tony Brooks, 2, 6, 
Ron Flockhart, 6, 
Alberto Uria, Maserati, A6GCM, Maserati 250F1 2.5 L6, P, Alberto Uria, 1, 
Óscar González, 1, 
Scuderia Ferrari, Ferrari, D50555, Ferrari DS50 2.5 V8Ferrari 555 2.5 L4, EP, Juan Manuel Fangio, 1–2, 4–8, 
Eugenio Castellotti, 1–2, 4–8, 
Luigi Musso, 1–2, 7–8, 
Peter Collins, 1–2, 4–8, 
Olivier Gendebien, 1, 5, 
Paul Frère, 4, 
André Pilette, 4, 
Alfonso de Portago, 5–8, 
Wolfgang von Trips, 8, 
Equipe Gordini, Gordini, T16T32, Gordini 23 2.5 L6Gordini 25 2.5 L8, E, Robert Manzon, 2, 5–8, 
Élie Bayol, 2, 
André Pilette, 2, 5, 7, 
Hermano da Silva Ramos, 2, 5–6, 8, 
André Milhoux, 7, 
André Simon, 8, 
Ecurie Rosier, Maserati, 250F, Maserati 250F1 2.5 L6, P, Louis Rosier, 2, 4–7, 
Vandervell Products, Vanwall, VW 2, Vanwall 254 2.5 L4, P, Maurice Trintignant, 2, 4, 6, 8, 
Harry Schell, 2, 4–6, 8, 
Mike Hawthorn, 5, 
Colin Chapman, 5, 
José Froilán González, 6, 
Piero Taruffi, 8, 
Gould's Garage (Bristol) H.H. Gould, Maserati, 250F, Maserati 250F1 2.5 L6, D, Horace Gould, 2, 4, 6–7, 
Giorgio Scarlatti, Ferrari, 500, Ferrari 500 2.0 L4, P, Giorgio Scarlatti, 2, 
Scuderia Centro Sud, MaseratiFerrari, 250F500, Maserati 250F1 2.5 L6Ferrari 500 2.0 L4, P, Luigi Villoresi, 4, 
Harry Schell, 7, 
Giorgio Scarlatti, 7, 
Toulo de Graffenried, 8, 
Piero Scotti, Connaught-Alta, B, Alta GP 2.5 L4, P, Piero Scotti, 4, 
Automobiles Bugatti, Bugatti, T251, Bugatti 2.5 L8, E, Maurice Trintignant, 5, 
Luigi Piotti, Maserati, 250F, Maserati 250F1 2.5 L6, P, Luigi Villoresi, 5–7, 
Luigi Piotti, 7–8, 
André Simon, Maserati, 250F, Maserati 250F1 2.5 L6, P, André Simon, 5, 
Scuderia Guastalla, Maserati, 250F, Maserati 250F1 2.5 L6, P, Umberto Maglioli, 6, 
Gerino Gerini, 8, 
Connaught Engineering, Connaught-Alta, B, Alta GP 2.5 L4, PA, Archie Scott-Brown, 6, 8, 
Desmond Titterington, 6, 
Jack Fairman, 6, 8, 
Les Leston, 8, 
Ron Flockhart, 8, 
Bob Gerard, Cooper-Bristol, T23, Bristol BS1 2.0 L6, D, Bob Gerard, 6, 
Gilby Engineering, Maserati, 250F, Maserati 250F1 2.5 L6, D, Roy Salvadori, 6–8, 
Bruce Halford, Maserati, 250F, Maserati 250F1 2.5 L6, D, Bruce Halford, 6–8, 
Jack Brabham, Maserati, 250F, Maserati 250F1 2.5 L6, D, Jack Brabham, 6, 
Emeryson Cars, Emeryson-Alta, 56, Alta GP 2.5 L4, D, Paul Emery, 6, 
Ottorino Volonterio, Maserati, A6GCM, Maserati 250F1 2.5 L6, P, Ottorino Volonterio, 7, 

Pos., Driver, ARG, MON, 500, BEL, FRA, GBR, GER, ITA, Pts., 
1, Juan Manuel Fangio, 1† / Ret, 2† / 4†, , Ret, 4, 1, 1, (2)† / 8†, 30 (33), 
2, Stirling Moss, Ret, 1, , 3† / Ret, 5† / Ret, (Ret), 2, 1, 27 (28), 
3, Peter Collins, Ret, 2†, , 1, 1, 2† / Ret, Ret† / Ret, 2†, 25, 
4, Jean Behra, 2, 3, , 7, 3, 3, 3, Ret† / Ret, 22, 
5, Pat Flaherty, , , 1, , , , , , 8, 
6, Eugenio Castellotti, Ret, 4† / Ret, , Ret, 2, 10†, Ret† / Ret, 8† / Ret, 7.5, 
7, Sam Hanks, , , 2, , , , , , 6, 
=, Paul Frère, , , , 2, , , , , 6, 
9, Paco Godia, , , , Ret, 7, 8, 4, 4, 6, 
10, Jack Fairman, , , , , , 4, , 5, 5, 
11, Luigi Musso, 1†, Ret, , , , , Ret†, Ret, 4, 
=, Mike Hawthorn, 3, , , , 10†, Ret, , , 4, 
=, Ron Flockhart, , , , , , Ret, , 3, 4, 
=, Don Freeland, , , 3, , , , , , 4, 
15, Alfonso de Portago, , , , , Ret, 2† / 10†, Ret†, Ret, 3, 
=, Cesare Perdisa, , 7, , 3†, 5†, 7, DNS, , 3, 
=, Harry Schell, , Ret, , 4, 10† / Ret, Ret, Ret, Ret, 3, 
=, Johnnie Parsons, , , 4, , , , , , 3, 
19, Louis Rosier, , Ret, , 8, 6, Ret, 5, , 2, 
=, Luigi Villoresi, , , , 5, Ret, 6, Ret, Ret†, 2, 
=, Hermano da Silva Ramos, , 5, , , 8, Ret, , Ret, 2, 
=, Horace Gould, , 8, , Ret, , 5, Ret, , 2, 
=, Olivier Gendebien, 5, , , , Ret, , , , 2, 
=, Dick Rathmann, , , 5, , , , , , 2, 
25, Gerino Gerini, 4†, , , , , , , 10, 1.5, 
=, Chico Landi, 4†, , , , , , , , 1.5, 
27, Paul Russo, , , Ret, , , , , , 1, 
—, André Pilette, , 6†, , 6, 11, , DNS, , 0, 
—, Luigi Piotti, Ret, , , , , , DNS, 6, 0, 
—, Bob Sweikert, , , 6, , , , , , 0, 
—, Oscar Gonzalez, 6†, , , , , , , , 0, 
—, Alberto Uria, 6†, , , , , , , , 0, 
—, Élie Bayol, , 6†, , , , , , , 0, 
—, Bob Veith, , , 7, , , , , , 0, 
—, Toulo de Graffenried, , , , , , , , 7, 0, 
—, Rodger Ward, , , 8, , , , , , 0, 
—, Robert Manzon, , Ret, , , 9, 9, Ret, Ret, 0, 
—, André Simon, , , , , Ret, , , 9, 0, 
—, Jimmy Reece, , , 9, , , , , , 0, 
—, Cliff Griffith, , , 10, , , , , , 0, 
—, Roy Salvadori, , , , , , Ret, Ret, 11, 0, 
—, Gene Hartley, , , 11, , , , , , 0, 
—, Bob Gerard, , , , , , 11, , , 0, 
—, Fred Agabashian, , , 12, , , , , , 0, 
—, Bob Christie, , , 13, , , , , , 0, 
—, Al Keller, , , 14, , , , , , 0, 
—, Eddie Johnson, , , 15, , , , , , 0, 
—, Billy Garrett, , , 16, , , , , , 0, 
—, Duke Dinsmore, , , 17, , , , , , 0, 
—, Pat O'Connor, , , 18, , , , , , 0, 
—, Jimmy Bryan, , , 19, , , , , , 0, 
—, Ottorino Volonterio, , , , , , , NC, , 0, 
—, Maurice Trintignant, , Ret, , Ret, Ret, Ret, , Ret, 0, 
—, Umberto Maglioli, , , , , , Ret, Ret, Ret†, 0, 
—, Bruce Halford, , , , , , Ret, DSQ, Ret, 0, 
—, José Froilán González, Ret, , , , , Ret, , , 0, 
—, Piero Taruffi, , , , , Ret, , , Ret, 0, 
—, Giorgio Scarlatti, , DNQ, , , , , Ret, , 0, 
—, Carlos Menditeguy, Ret, , , , , , , , 0, 
—, Jim Rathmann, , , Ret, , , , , , 0, 
—, Johnnie Tolan, , , Ret, , , , , , 0, 
—, Tony Bettenhausen, , , Ret, , , , , , 0, 
—, Jimmy Daywalt, , , Ret, , , , , , 0, 
—, Jack Turner, , , Ret, , , , , , 0, 
—, Keith Andrews, , , Ret, , , , , , 0, 
—, Andy Linden, , , Ret, , , , , , 0, 
—, Al Herman, , , Ret, , , , , , 0, 
—, Ray Crawford, , , Ret, , , , , , 0, 
—, Johnny Boyd, , , Ret, , , , , , 0, 
—, Troy Ruttman, , , Ret, , , , , , 0, 
—, Johnny Thomson, , , Ret, , , , , , 0, 
—, Piero Scotti, , , , Ret, , , , , 0, 
—, Desmond Titterington, , , , , , Ret, , , 0, 
—, Tony Brooks, , , , , , Ret, , , 0, 
—, Archie Scott-Brown, , , , , , Ret, , , 0, 
—, Paul Emery, , , , , , Ret, , , 0, 
—, Jack Brabham, , , , , , Ret, , , 0, 
—, Andre Milhoux, , , , , , , Ret, , 0, 
—, Les Leston, , , , , , , , Ret, 0, 
—, Ed Elisian, , , Ret†, , , , , , 0, 
—, Eddie Russo, , , Ret†, , , , , , 0, 
—, Joakim Bonnier, , , , , , , , Ret†, 0, 
—, Colin Chapman, , , , , DNS, , , , 0, 
—, Wolfgang von Trips, , , , , , , , DNS, 0, 
Pos., Driver, ARG, MON, 500, BEL, FRA, GBR, GER, ITA, Pts., 

Key, 
Colour, Result, 
