Page - https://en.wikipedia.org/wiki/1957_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Report, 
1, Argentine Grand Prix, Buenos Aires, 13 January, Stirling Moss, Stirling Moss, Juan Manuel Fangio, Maserati, Report, 
2, Monaco Grand Prix, Monaco, 19 May, Juan Manuel Fangio, Juan Manuel Fangio, Juan Manuel Fangio, Maserati, Report, 
3, Indianapolis 500, Indianapolis, 30 May, Pat O'Connor, Jim Rathmann, Sam Hanks, Epperly-Offenhauser, Report, 
4, French Grand Prix, Rouen-Les-Essarts, 7 July, Juan Manuel Fangio, Luigi Musso, Juan Manuel Fangio, Maserati, Report, 
5, British Grand Prix, Aintree, 20 July, Stirling Moss, Stirling Moss, Tony Brooks Stirling Moss, Vanwall, Report, 
6, German Grand Prix, Nürburgring, 4 August, Juan Manuel Fangio, Juan Manuel Fangio, Juan Manuel Fangio, Maserati, Report, 
7, Pescara Grand Prix, Pescara, 18 August, Juan Manuel Fangio, Stirling Moss, Stirling Moss, Vanwall, Report, 
8, Italian Grand Prix, Monza, 8 September, Stuart Lewis-Evans, Tony Brooks, Stirling Moss, Vanwall, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Officine Alfieri Maserati, Maserati, 250F, Maserati 250F1 2.5 L6Maserati 250F1 2.5 V12, P, Juan Manuel Fangio, 1–2, 4–8, 
Stirling Moss, 1, 
Jean Behra, 1, 4–8, 
Carlos Menditeguy, 1–2, 4–5, 
Giorgio Scarlatti, 2, 6–8, 
Harry Schell, 2, 4–8, 
Hans Herrmann, 2, 
Scuderia Ferrari, Ferrari, 801, Ferrari DS50 2.5 V8, EP, Peter Collins, 1–2, 4–6, 8, 
Luigi Musso, 1, 4–8, 
Eugenio Castellotti, 1, 
Mike Hawthorn, 1–2, 4–6, 8, 
Wolfgang von Trips, 1–2, 8, 
Cesare Perdisa, 1, 
Alfonso de Portago, 1, 
José Froilán González, 1, 
Maurice Trintignant, 2, 4–5, 
Scuderia Centro Sud, Maserati, 250F, Maserati 250F1 2.5 L6, P, Harry Schell, 1, 
Jo Bonnier, 1, 7–8, 
Masten Gregory, 2, 6–8, 
André Simon, 2, 
Hans Herrmann, 6, 
Ferrari, 500, Ferrari 625 2.5 L4, Alejandro de Tomaso, 1, 
Luigi Piotti, Maserati, 250F, Maserati 250F1 2.5 L6, P, Luigi Piotti, 1–2, 7–8, 
Owen Racing Organisation, BRM, P25, BRM P25 2.5 L4, D, Ron Flockhart, 2, 4, 
Roy Salvadori, 2, 
Herbert MacKay-Fraser, 4, 
Jack Fairman, 5, 
Les Leston, 5, 
Connaught Engineering, Connaught-Alta, B, Alta GP 2.5 L4, D, Stuart Lewis-Evans, 2, 
Ivor Bueb, 2, 
Cooper Car Company, Cooper-Climax, T43, Climax FPF 2.0 L4, AD, Jack Brabham, 2, 4, 7, 
Les Leston, 2, 
Mike MacDowel, 4, 
Roy Salvadori, 5, 7, 
T43, Climax FPF 1.5 L4, D, Roy Salvadori, 6, 
Vandervell Products, Vanwall, VW 5, Vanwall 254 2.5 L4, P, Stirling Moss, 2, 5–8, 
Tony Brooks, 2, 5–8, 
Stuart Lewis-Evans, 4–8, 
Roy Salvadori, 4, 
H.H. Gould, Maserati, 250F, Maserati 250F1 2.5 L6, D, Horace Gould, 2, 4–8, 
Jo Bonnier, Maserati, 250F, Maserati 250F1 2.5 L6, P, Jo Bonnier, 5, 
Gilby Engineering, Maserati, 250F, Maserati 250F1 2.5 L6, D, Ivor Bueb, 5, 
R.R.C. Walker Racing Team, Cooper-Climax, T43, Climax FPF 2.0 L4, D, Jack Brabham, 5, 
T43, Climax FPF 1.5 L4, D, Jack Brabham, 6, 
Bob Gerard, Cooper-Bristol, T44, Bristol BS2 2.2 L6, D, Bob Gerard, 5, 
Bruce Halford, Maserati, 250F, Maserati 250F1 2.5 L6, D, Bruce Halford, 6–8, 
Dr Ing F. Porsche KG, Porsche, RS550, Porsche 547/3 1.5 F4, ?, Umberto Maglioli, 6, 
Edgar Barth, 6, 
Ridgeway Management, Cooper-Climax, T43T41, Climax FPF 1.5 L4, D, Tony Marsh, 6, 
Paul England, 6, 
Ecurie Maarsbergen, Porsche, RS550, Porsche 547/3 1.5 F4, D, Carel Godin de Beaufort, 6, 
J.B. Naylor, Cooper-Climax, T43, Climax FPF 1.5 L4, D, Brian Naylor, 6, 
Dick Gibson, Cooper-Climax, T43, Climax FPF 1.5 L4, D, Dick Gibson, 6, 
Francesco Godia Sales, Maserati, 250F, Maserati 250F1 2.5 L6, P, Paco Godia, 6–8, 
Ottorino Volonterio, Maserati, 250F, Maserati 250F1 2.5 L6, P, Ottorino Volonterio, 8, 
André Simon, 8, 

Pos., Driver, ARG, MON, 500, FRA, GBR, GER, PES, ITA, Pts., 
1, Juan Manuel Fangio, 1, 1, , 1, Ret, 1, 2, (2), 40 (46), 
2, Stirling Moss, 8, Ret, , , 1† / Ret†, 5, 1, 1, 25, 
3, Luigi Musso, Ret, , , 2, 2, 4, Ret, 8, 16, 
4, Mike Hawthorn, Ret, Ret† / Ret, , 4, 3, 2, , 6, 13, 
5, Tony Brooks, , 2, , , 1† / Ret†, 9, Ret, 7, 11, 
6, Masten Gregory, , 3, , , , 8, 4, 4, 10, 
7, Harry Schell, 4, Ret† / Ret, , 5, Ret, 7, 3, 5† / Ret, 10, 
8, Sam Hanks, , , 1, , , , , , 8, 
9, Peter Collins, 6† / Ret, Ret, , 3, Ret / 4†‡, 3, , Ret, 8, 
10, Jim Rathmann, , , 2, , , , , , 7, 
11, Jean Behra, 2, , , 6, Ret, 6, Ret, Ret, 6, 
12, Stuart Lewis-Evans, , 4, , Ret, 7, Ret, 5, Ret, 5, 
13, Maurice Trintignant, , 5, , Ret, 4†, , , , 5, 
14, Wolfgang von Trips, 6†, Ret†, , , , , , 3, 4, 
15, Carlos Menditeguy, 3, Ret, , Ret, Ret, , , , 4, 
16, Jimmy Bryan, , , 3, , , , , , 4, 
17, Paul Russo, , , 4, , , , , , 3, 
18, Roy Salvadori, , DNQ, , Ret, 5, Ret1, Ret, , 2, 
19, Andy Linden, , , 5, , , , , , 2, 
20, Giorgio Scarlatti, , Ret†, , , , 10, 6, 5†, 1, 
21, Alfonso de Portago, 5†, , , , , , , , 1, 
22, José Froilán González, 5†, , , , , , , , 1, 
—, Jack Brabham, , 6, , 7† / Ret, Ret, Ret1, 7, , 0, 
—, Johnny Boyd, , , 6, , , , , , 0, 
—, Bob Gerard, , , , , 6, , , , 0, 
—, Cesare Perdisa, 6†, , , , , , , , 0, 
—, Joakim Bonnier, 7, , , , Ret, , Ret, Ret, 0, 
—, Marshall Teague, , , 7, , , , , , 0, 
—, Mike MacDowel, , , , 7†, , , , , 0, 
—, Ivor Bueb, , Ret, , , 8, , , , 0, 
—, Pat O'Connor, , , 8, , , , , , 0, 
—, Paco Godia, , , , , , Ret, Ret, 9, 0, 
—, Alejandro de Tomaso, 9, , , , , , , , 0, 
—, Bob Veith, , , 9, , , , , , 0, 
—, Luigi Piotti, 10, DNQ, , , , , Ret, Ret, 0, 
—, Horace Gould, , Ret, , Ret, DNS, Ret, Ret, 10, 0, 
—, Gene Hartley, , , 10, , , , , , 0, 
—, Bruce Halford, , , , , , 11, Ret, Ret, 0, 
—, Jack Turner, , , 11, , , , , , 0, 
—, Ottorino Volonterio, , , , , , , , 11†, 0, 
—, André Simon, , DNQ, , , , , , 11†, 0, 
—, Johnny Thomson, , , 12, , , , , , 0, 
—, Bob Christie, , , 13, , , , , , 0, 
—, Chuck Weyant, , , 14, , , , , , 0, 
—, Tony Bettenhausen, , , 15, , , , , , 0, 
—, Johnnie Parsons, , , 16, , , , , , 0, 
—, Don Freeland, , , 17, , , , , , 0, 
—, Ron Flockhart, , Ret, , Ret, , , , , 0, 
—, Hans Herrmann, , DNQ, , , , Ret, , , 0, 
—, Les Leston, , DNQ, , , Ret, , , , 0, 
—, Eugenio Castellotti, Ret, , , , , , , , 0, 
—, Jimmy Reece, , , Ret, , , , , , 0, 
—, Don Edmunds, , , Ret, , , , , , 0, 
—, Johnnie Tolan, , , Ret, , , , , , 0, 
—, Al Herman, , , Ret, , , , , , 0, 
—, Fred Agabashian, , , Ret, , , , , , 0, 
—, Eddie Sachs, , , Ret, , , , , , 0, 
—, Mike Magill, , , Ret, , , , , , 0, 
—, Eddie Johnson, , , Ret, , , , , , 0, 
—, Bill Cheesbourg, , , Ret, , , , , , 0, 
—, Al Keller, , , Ret, , , , , , 0, 
—, Jimmy Daywalt, , , Ret, , , , , , 0, 
—, Ed Elisian, , , Ret, , , , , , 0, 
—, Rodger Ward, , , Ret, , , , , , 0, 
—, Troy Ruttman, , , Ret, , , , , , 0, 
—, Eddie Russo, , , Ret, , , , , , 0, 
—, Elmer George, , , Ret, , , , , , 0, 
—, Herbert MacKay-Fraser, , , , Ret, , , , , 0, 
—, Jack Fairman, , , , , Ret, , , , 0, 
Drivers ineligible for Formula One points, because they drove with Formula Two cars, 
—, Edgar Barth, , , , , , 12, , , , 
—, Brian Naylor, , , , , , 13, , , , 
—, Carel Godin de Beaufort, , , , , , 14, , , , 
—, Tony Marsh, , , , , , 15, , , , 
—, Umberto Maglioli, , , , , , Ret, , , , 
—, Paul England, , , , , , Ret, , , , 
—, Dick Gibson, , , , , , Ret, , , , 
Pos., Driver, ARG, MON, 500, FRA, GBR, GER, PES, ITA, Pts., 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
