Page - https://en.wikipedia.org/wiki/1960_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Argentine Grand Prix, Buenos Aires, 7 February, Stirling Moss, Stirling Moss, Bruce McLaren, Cooper-Climax, D, Report, 
2, Monaco Grand Prix, Monaco, 29 May, Stirling Moss, Bruce McLaren, Stirling Moss, Lotus-Climax, D, Report, 
3, Indianapolis 500, Indianapolis, 30 May, Eddie Sachs, Jim Rathmann, Jim Rathmann, Watson-Offenhauser, F, Report, 
4, Dutch Grand Prix, Zandvoort, 6 June, Stirling Moss, Stirling Moss, Jack Brabham, Cooper-Climax, D, Report, 
5, Belgian Grand Prix, Spa-Francorchamps, 19 June, Jack Brabham, Jack Brabham Innes IrelandPhil Hill, Jack Brabham, Cooper-Climax, D, Report, 
6, French Grand Prix, Reims, 3 July, Jack Brabham, Jack Brabham, Jack Brabham, Cooper-Climax, D, Report, 
7, British Grand Prix, Silverstone, 16 July, Jack Brabham, Graham Hill, Jack Brabham, Cooper-Climax, D, Report, 
8, Portuguese Grand Prix, Boavista, 14 August, John Surtees, John Surtees, Jack Brabham, Cooper-Climax, D, Report, 
9, Italian Grand Prix, Monza, 4 September, Phil Hill, Phil Hill, Phil Hill, Ferrari, D, Report, 
10, United States Grand Prix, Riverside, 20 November, Stirling Moss, Jack Brabham, Stirling Moss, Lotus-Climax, D, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Camoradi International, Behra-Porsche-Porsche, RSK, Porsche 547/3 1.5 F4, D, Masten Gregory, 1, 
Fred Gamble, 9, 
Scuderia Centro Sud, Cooper-Maserati, T51, Maserati 250S 2.5 L4, D, Roberto Bonomi, 1, 
Carlos Menditeguy, 1, 
Masten Gregory, 2, 4, 6–8, 
Ian Burgess, 2, 6–7, 10, 
Maurice Trintignant, 2, 4, 6, 10, 
Mário de Araújo Cabral, 8, 
Alfonso Thiele, 9, 
Wolfgang von Trips, 10, 
Giorgio Scarlatti, Maserati, 250F, Maserati 250F1 2.5 L6, D, Giorgio Scarlatti, 1, 
Nasif Estéfano, Maserati, 250F, Maserati 250F1 2.5 L6, D, Nasif Estéfano, 1, 
Antonio Creus, Maserati, 250F, Maserati 250F1 2.5 L6, D, Antonio Creus, 1, 
Gino Munaron, Maserati, 250F, Maserati 250F1 2.5 L6, D, Gino Munaron, 1, 
Cooper Car Company, Cooper-Climax, T51T53, Climax FPF 2.5 L4, D, Bruce McLaren, 1–2, 4–8, 10, 
Jack Brabham, 1–2, 4–8, 10, 
Chuck Daigh, 7, 
Ron Flockhart, 10, 
Team Lotus, Lotus-Climax, 1816, Climax FPF 2.5 L4, D, Innes Ireland, 1–2, 4–8, 10, 
Alan Stacey, 1–2, 4–5, 
Alberto Rodriguez Larreta, 1, 
John Surtees, 2, 7–8, 10, 
Jim Clark, 4–8, 10, 
Ron Flockhart, 6, 
Scuderia Ferrari, Ferrari, 246, Ferrari 155 2.4 V6, D, Cliff Allison, 1–2, 
Phil Hill, 1–2, 4–9, 
Wolfgang von Trips, 1–2, 4–8, 
José Froilán González, 1, 
Richie Ginther, 4, 9, 
Willy Mairesse, 5–6, 9, 
246P, Ferrari 171 2.4 V6, Richie Ginther, 2, 
Ferrari 1.5 V6, Wolfgang von Trips, 9, 
Ecurie Bleue, Cooper-Climax, T51, Climax FPF 2.2 L4, D, Harry Schell, 1, 
R.R.C. Walker Racing Team, Lotus-Climax, 18, Climax FPF 2.5 L4, D, Stirling Moss, 2, 4–5, 8, 10, 
Cooper-Climax, T51, 1, 
Maurice Trintignant, 1, 
Lance Reventlow, 7, 
Owen Racing Organisation, BRM, P25P48, BRM P25 2.5 L4, D, Jo Bonnier, 1–2, 4–8, 10, 
Graham Hill, 1–2, 4–8, 10, 
Dan Gurney, 2, 4–8, 10, 
Ettore Chimeri, Maserati, 250F, Maserati 250F1 2.5 L6, D, Ettore Chimeri, 1, 
Fred Tuck Cars, Cooper-Climax, T51, Climax FPF 2.5 L4, D, Bruce Halford, 2, 
Lucien Bianchi, 6–7, 
High Efficiency Motors C.T. Atkins, Cooper-Climax, T51, Climax FPF 2.5 L4, D, Roy Salvadori, 2, 10, 
Jack Fairman, 7, 
Yeoman Credit Racing Team, Cooper-Climax, T51, Climax FPF 2.5 L4, D, Chris Bristow, 2, 4–5, 
Tony Brooks, 2, 4–5, 7–8, 10, 
Henry Taylor, 4, 6–8, 10, 
Olivier Gendebien, 5–8, 10, 
Bruce Halford, 6, 
Phil Hill, 10, 
J.B. Naylor, JBW-Maserati, 59, Maserati 250S 2.5 L4, D, Brian Naylor, 2, 7, 9–10, 
Scuderia Eugenio Castellotti, Cooper-Castellotti, T51, Castellotti 2.5 L4, D, Gino Munaron, 2, 6–7, 9, 
Giorgio Scarlatti, 2, 9, 
Giulio Cabianca, 9, 
Reventlow Automobiles Inc., Scarab, F1, Scarab 2.5 L4, D, Chuck Daigh, 2, 4–6, 10, 
Lance Reventlow, 2, 4–5, 
Richie Ginther, 6, 
David Brown Corporation, Aston Martin, DBR4DBR5, Aston Martin RB6 2.5 L6, D, Roy Salvadori, 4, 7, 
Maurice Trintignant, 7, 
Ecurie Maarsbergen, Cooper-Climax, T51, Climax FPF 1.5 L4, D, Carel Godin de Beaufort, 4, 
Taylor-Crawley Racing Team, Lotus-Climax, 18, Climax FPF 2.5 L4, D, Mike Taylor, 5, 
Equipe Nationale Belge, Cooper-Climax, T45, Climax FPF 2.5 L4, D, Lucien Bianchi, 5, 
Vandervell Products, Vanwall, VW 11, Vanwall 254 2.5 L4, D, Tony Brooks, 6, 
Robert Bodle Ltd, Lotus-Climax, 16, Climax FPF 2.5 L4, D, David Piper, 6–7, 
Gilby Engineering, Cooper-Maserati, T45, Maserati 250S 2.5 L4, D, Keith Greene, 7, 
Arthur Owen, Cooper-Climax, T45, Climax FPF 2.2 L4, D, Arthur Owen, 9, 
Wolfgang Seidel, Cooper-Climax, T45, Climax FPF 1.5 L4, D, Wolfgang Seidel, 9, 
Scuderia Colonia, Cooper-Climax, T43, Climax FPF 1.5 L4, D, Piero Drogo, 9, 
H.H. Gould, Maserati, 250F, Maserati 250F1 2.5 L6, D, Horace Gould, 9, 
Dr Ing F. Porsche KG Porsche System Engineering, Porsche, 718/2, Porsche 547/3 1.5 F4, D, Edgar Barth, 9, 
Hans Herrmann, 9, 
Equipe Prideaux/Dick Gibson, Cooper-Climax, T43, Climax FPF 1.5 L4, D, Vic Wilson, 9, 
Joe Lubin, Maserati, 250F, Maserati 250S 2.5 L4, D, Bob Drake, 10, 
Jim Hall, Lotus-Climax, 18, Climax FPF 2.5 L4, D, Jim Hall, 10, 
Fred Armbruster, Cooper-Ferrari, T45, Ferrari 107 2.5 L4, D, Pete Lovely, 10, 

Pos., Driver, ARG, MON, 500, NED, BEL, FRA, GBR, POR, ITA, USA, Pts.[a], 
1, Jack Brabham, Ret, DSQ, , 1, 1, 1, 1, 1, , 4, 43, 
2, Bruce McLaren, 1, 2, , Ret, 2, 3, (4), 2, , 3, 34 (37), 
3, Stirling Moss, 3† / Ret, 1, , 4, DNS, , , DSQ, , 1, 19, 
4, Innes Ireland, 6, 9, , 2, Ret, 7, 3, 6, , 2, 18, 
5, Phil Hill, 8, 3, , Ret, 4, 12, 7, Ret, 1, 6, 16, 
6, Olivier Gendebien, , , , , 3, 2, 9, 7, , 12, 10, 
7, Wolfgang von Trips, 5, 8, , 5, Ret, 11, 6, 4, 5, 9, 10, 
8, Jim Rathmann, , , 1, , , , , , , , 8, 
9, Richie Ginther, , 6, , 6, , DNS, , , 2, , 8, 
10, Jim Clark, , , , Ret, 5, 5, 16, 3, , 16, 8, 
11, Tony Brooks, , 4, , Ret, Ret, Ret, 5, 5, , Ret, 7, 
12, John Surtees, , Ret, , , , , 2, Ret, , Ret, 6, 
13, Cliff Allison, 2, DNQ, , , , , , , , , 6, 
14, Rodger Ward, , , 2, , , , , , , , 6, 
15, Graham Hill, Ret, 7, , 3, Ret, Ret, Ret, Ret, , Ret, 4, 
16, Willy Mairesse, , , , , Ret, Ret, , , 3, , 4, 
17, Paul Goldsmith, , , 3, , , , , , , , 4, 
18, Joakim Bonnier, 7, 5, , Ret, Ret, Ret, Ret, Ret, , 5, 4, 
19, Henry Taylor, , , , 7, , 4, 8, , , 14, 3, 
20, Carlos Menditeguy, 4, , , , , , , , , , 3, 
21, Don Branson, , , 4, , , , , , , , 3, 
22, Giulio Cabianca, , , , , , , , , 4, , 3, 
23, Johnny Thomson, , , 5, , , , , , , , 2, 
24, Lucien Bianchi, , , , , 6, Ret, Ret, , , , 1, 
25, Ron Flockhart, , , , , , 6, , , , Ret, 1, 
26, Eddie Johnson, , , 6, , , , , , , , 1, 
27, Hans Herrmann, , , , , , , , , 6, , 1, 
—, Maurice Trintignant, 3†, Ret, , Ret, , Ret, 11, , , 15, 0, 
—, Lloyd Ruby, , , 7, , , , , , , , 0, 
—, Edgar Barth, , , , , , , , , 7, , 0, 
—, Jim Hall, , , , , , , , , , 7, 0, 
—, Roy Salvadori, , Ret, , DNS, , , Ret, , , 8, 0, 
—, Bruce Halford, , DNQ, , , , 8, , , , , 0, 
—, Bob Veith, , , 8, , , , , , , , 0, 
—, Carel Godin de Beaufort, , , , 8, , , , , , , 0, 
—, Piero Drogo, , , , , , , , , 8, , 0, 
—, Masten Gregory, 12, DNQ, , DNS, , 9, 14, Ret, , , 0, 
—, Alberto Rodriguez Larreta, 9, , , , , , , , , , 0, 
—, Bud Tingelstad, , , 9, , , , , , , , 0, 
—, Wolfgang Seidel, , , , , , , , , 9, , 0, 
—, Dan Gurney, , NC, , Ret, Ret, Ret, 10, Ret, , , 0, 
—, Chuck Daigh, , DNQ, , DNS, Ret, DNS, Ret, , , 10, 0, 
—, Ian Burgess, , DNQ, , , , 10, Ret, , , Ret, 0, 
—, José Froilán González, 10, , , , , , , , , , 0, 
—, Bob Christie, , , 10, , , , , , , , 0, 
—, Fred Gamble, , , , , , , , , 10, , 0, 
—, Roberto Bonomi, 11, , , , , , , , , , 0, 
—, Red Amick, , , 11, , , , , , , , 0, 
—, Pete Lovely, , , , , , , , , , 11, 0, 
—, David Piper, , , , , , Ret, 12, , , , 0, 
—, Duane Carter, , , 12, , , , , , , , 0, 
—, Gino Munaron, 13, , , , , Ret, 15, , Ret, , 0, 
—, Brian Naylor, , DNQ, , , , , 13, , Ret, Ret, 0, 
—, Bill Homeier, , , 13, , , , , , , , 0, 
—, Bob Drake, , , , , , , , , , 13, 0, 
—, Nasif Estéfano, 14, , , , , , , , , , 0, 
—, Gene Hartley, , , 14, , , , , , , , 0, 
—, Chuck Stevenson, , , 15, , , , , , , , 0, 
—, Bobby Grim, , , 16, , , , , , , , 0, 
—, Alan Stacey, Ret, Ret, , Ret, Ret, , , , , , 0, 
—, Chris Bristow, , Ret, , Ret, Ret, , , , , , 0, 
—, Giorgio Scarlatti, Ret, DNQ, , , , , , , Ret, , 0, 
—, Lance Reventlow, , DNQ, , DNS, Ret, , DNS, , , , 0, 
—, Harry Schell, Ret, , , , , , , , , , 0, 
—, Ettore Chimeri, Ret, , , , , , , , , , 0, 
—, Antonio Creus, Ret, , , , , , , , , , 0, 
—, Shorty Templeman, , , Ret, , , , , , , , 0, 
—, Jim Hurtubise, , , Ret, , , , , , , , 0, 
—, Jimmy Bryan, , , Ret, , , , , , , , 0, 
—, Troy Ruttman, , , Ret, , , , , , , , 0, 
—, Eddie Sachs, , , Ret, , , , , , , , 0, 
—, Don Freeland, , , Ret, , , , , , , , 0, 
—, Tony Bettenhausen, , , Ret, , , , , , , , 0, 
—, Wayne Weiler, , , Ret, , , , , , , , 0, 
—, A. J. Foyt, , , Ret, , , , , , , , 0, 
—, Eddie Russo, , , Ret, , , , , , , , 0, 
—, Johnny Boyd, , , Ret, , , , , , , , 0, 
—, Gene Force, , , Ret, , , , , , , , 0, 
—, Jim McWithey, , , Ret, , , , , , , , 0, 
—, Len Sutton, , , Ret, , , , , , , , 0, 
—, Al Herman, , , Ret, , , , , , , , 0, 
—, Dempsey Wilson, , , Ret, , , , , , , , 0, 
—, Dick Rathmann, , , Ret, , , , , , , , 0, 
—, Jack Fairman, , , , , , , Ret, , , , 0, 
—, Keith Greene, , , , , , , Ret, , , , 0, 
—, Mario de Araujo Cabral, , , , , , , , Ret, , , 0, 
—, Alfonso Thiele, , , , , , , , , Ret, , 0, 
—, Vic Wilson, , , , , , , , , Ret, , 0, 
—, Arthur Owen, , , , , , , , , Ret, , 0, 
—, Mike Taylor, , , , , DNS, , , , , , 0, 
—, Horace Gould, , , , , , , , , DNS, , 0, 
Pos., Driver, ARG, MON, 500, NED, BEL, FRA, GBR, POR, ITA, USA, Pts., 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos., Manufacturer, ARG, MON, NED, BEL, FRA, GBR, POR, ITA, USA, Pts.[a], 
1, Cooper-Climax, 1, (2), 1, 1, 1, 1, 1, 8, (3), 48 (58), 
2, Lotus-Climax, (6), 1, 2, 5, (5), 2, 3, , 1, 34 (37), 
3, Ferrari, 2, 3, 5, 4, 11, (6), 4, 1, , 26 (27), 
4, BRM, 7, 5, 3, Ret, Ret, 10, Ret, , 5, 8, 
5, Cooper-Maserati, 4, Ret, Ret, , 9, 14, Ret, Ret, 9, 3, 
