Page - https://en.wikipedia.org/wiki/1962_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Dutch Grand Prix, Zandvoort, 20 May, John Surtees, Bruce McLaren, Graham Hill, BRM, D, Report, 
2, Monaco Grand Prix, Monaco, 3 June, Jim Clark, Jim Clark, Bruce McLaren, Cooper-Climax, D, Report, 
3, Belgian Grand Prix, Spa-Francorchamps, 17 June, Graham Hill, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
4, French Grand Prix, Rouen-Les-Essarts, 8 July, Jim Clark, Graham Hill, Dan Gurney, Porsche, D, Report, 
5, British Grand Prix, Aintree, 21 July, Jim Clark, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
6, German Grand Prix, Nürburgring, 5 August, Dan Gurney, Graham Hill, Graham Hill, BRM, D, Report, 
7, Italian Grand Prix, Monza, 16 September, Jim Clark, Graham Hill, Graham Hill, BRM, D, Report, 
8, United States Grand Prix, Watkins Glen, 7 October, Jim Clark, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
9, South African Grand Prix, Prince George, 29 December, Jim Clark, Jim Clark, Graham Hill, BRM, D, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Scuderia Ferrari SpA SEFAC, Ferrari, 156, Ferrari 178 1.5 V6, D, Phil Hill, 1–3, 5–7, 
Giancarlo Baghetti, 1, 3, 6–7, 
Ricardo Rodríguez, 1–3, 6–7, 
Lorenzo Bandini, 2, 6–7, 
Willy Mairesse, 2–3, 7, 
Team Lotus, Lotus-Climax, 2524, Climax FWMV 1.5 V8, D, Jim Clark, All, 
Trevor Taylor, All, 
Cooper Car Company, Cooper-Climax, T60T55, Climax FWMV 1.5 V8Climax FPF 1.5 L4, D, Bruce McLaren, All, 
Tony Maggs, All, 
Timmy Mayer, 8, 
Brabham Racing Organisation, Lotus-Climax, 24, Climax FWMV 1.5 V8, D, Jack Brabham, 1–5, 
Brabham-Climax, BT3, 6, 8–9, 
UDT Laystall Racing Team, Lotus-Climax, 2418/21, Climax FWMV 1.5 V8Climax FPF 1.5 L4, D, Innes Ireland, 1–5, 7–9, 
Masten Gregory, 1, 5, 
Lotus-BRM, 24, BRM P56 1.5 V8, 2–4, 7–8, 
Porsche System Engineering, Porsche, 804718, Porsche 753 1.5 F8Porsche 547/3 1.5 F4, D, Jo Bonnier, 1–2, 4–8, 
Dan Gurney, 1–2, 5–8, 
Phil Hill, 8, 
Ecurie Maarsbergen, Porsche, 718787, Porsche 547/3 1.5 F4, D, Carel Godin de Beaufort, All, 
Ben Pon, 1, 
Emeryson-Climax, 61, Climax FPF 1.5 L4, Wolfgang Seidel, 1, 
Owen Racing Organisation, BRM, P57P48/57, BRM P56 1.5 V8, D, Graham Hill, All, 
Richie Ginther, All, 
Bruce Johnstone, 9, 
Bowmaker-Yeoman Racing Team, Lola-Climax, Mk4, Climax FWMV 1.5 V8, D, John Surtees, All, 
Roy Salvadori, 1–2, 4–9, 
Ecurie Galloise, Cooper-Climax, T53, Climax FPF 1.5 L4, D, Jackie Lewis, 1, 4–6, 
BRM, P48/57, BRM P56 1.5 V8, 2, 
R.R.C. Walker Racing Team, Lotus-Climax, 24, Climax FWMV 1.5 V8, D, Maurice Trintignant, 2–4, 6–8, 
Scuderia SSS Republica di Venezia, Lotus-Climax, 18/2124, Climax FPF 1.5 L4, D, Nino Vaccarella, 2, 7, 
Porsche, 718, Porsche 547/3 1.5 F4, 6, 
Ecurie Nationale Suisse, Lotus-Climax, 21, Climax FPF 1.5 L4, D, Jo Siffert, 2, 
Emeryson Cars, Lotus-Climax, 18, Climax FPF 1.5 L4, D, John Campbell-Jones, 3, 
Emeryson-Climax, 61, Tony Settember, 5, 7, 
Equipe Nationale Belge, Lotus-Climax, 18/21, Climax FPF 1.5 L4, D, Lucien Bianchi, 3, 
ENB-Maserati, F1, Maserati Tipo 6 1.5 L4, 6, 
Ecurie Filipinetti, Lotus-Climax, 21, Climax FPF 1.5 L4, D, Jo Siffert, 3, 6, 
Lotus-BRM, 24, BRM P56 1.5 V8, 4, 7, 
Heinz Schiller, 6, 
Porsche, 718, Porsche 547/3 1.5 F4, Heini Walter, 6, 
Autosport Team Wolfgang Seidel, Lotus-BRM, 24, BRM P56 1.5 V8, D, Dan Gurney, 3, 
Wolfgang Seidel, 5–6, 
Gunther Seiffert, 6, 
Tony Shelly, 7, 
Anglo-American Equipe, Cooper-Climax, T59, Climax FPF 1.5 L4, D, Ian Burgess, 5–7, 
Ecurie Excelsior, Lotus-Climax, 18, Climax FPF 1.5 L4, D, Jay Chamberlain, 5–7, 
John Dalton, Lotus-Climax, 18/21, Climax FPF 1.5 L4, D, Tony Shelly, 5–6, 
Gilby Engineering, Gilby-BRM, 62, BRM P56 1.5 V8, D, Keith Greene, 6–7, 
Bernard Collomb, Cooper-Climax, T53, Climax FPF 1.5 L4, D, Bernard Collomb, 6, 
Scuderia de Tomaso, De Tomaso, 801, De Tomaso 1.5 F8, D, Nasif Estéfano, 7, 
Scuderia Settecolli, De Tomaso-OSCA, F1, OSCA 372 1.5 L4, D, Roberto Lippi, 7, 
Gerry Ashmore, Lotus-Climax, 18/21, Climax FPF 1.5 L4, D, Gerry Ashmore, 7, 
Scuderia Jolly Club, Lotus-Climax, 18, Climax FPF 1.5 L4, D, Ernesto Prinoth, 7, 
Dupont Team Zerex, Lotus-Climax, 24, Climax FWMV 1.5 V8, D, Roger Penske, 8, 
Hap Sharp, Cooper-Climax, T53, Climax FPF 1.5 L4, D, Hap Sharp, 8, 
Jim Hall, Lotus-Climax, 21, Climax FPF 1.5 L4, D, Jim Hall, 8, 
John Mecom, Lotus-Climax, 24, Climax FPF 1.5 L4, D, Rob Schroeder, 8, 
Ernie Pieterse, Lotus-Climax, 21, Climax FPF 1.5 L4, D, Ernie Pieterse, 9, 
John Love, Cooper-Climax, T55, Climax FPF 1.5 L4, D, John Love, 9, 
Neville Lederle, Lotus-Climax, 21, Climax FPF 1.5 L4, D, Neville Lederle, 9, 
Otello Nucci, LDS-Alfa Romeo, Mk 1, Alfa Romeo Giulietta 1.5 L4, D, Doug Serrurier, 9, 
Mike Harris, Cooper-Alfa Romeo, T53, Alfa Romeo Giulietta 1.5 L4, D, Mike Harris, 9, 

Pos., Driver, NED, MON, BEL, FRA, GBR, GER, ITA, USA, RSA, Pts., 
1, Graham Hill, 1, (6), 2, 9, (4), 1, 1, (2), 1, 42 (52), 
2, Jim Clark, 9, Ret, 1, Ret, 1, 4, Ret, 1, Ret, 30, 
3, Bruce McLaren, Ret, 1, Ret, (4), 3, (5), 3, 3, 2, 27 (32), 
4, John Surtees, Ret, 4, 5, 5, 2, 2, Ret, Ret, Ret, 19, 
5, Dan Gurney, Ret, Ret, DNS, 1, 9, 3, 13, 5, , 15, 
6, Phil Hill, 3, 2, 3, , Ret, Ret, 11, DNS, , 14, 
7, Tony Maggs, 5, Ret, Ret, 2, 6, 9, 7, 7, 3, 13, 
8, Richie Ginther, Ret, Ret, Ret, 3, 13, 8, 2, Ret, 7, 10, 
9, Jack Brabham, Ret, 8, 6, Ret, 5, Ret, , 4, 4, 9, 
10, Trevor Taylor, 2, Ret, Ret, 8, 8, Ret, Ret, 12, Ret, 6, 
11, Giancarlo Baghetti, 4, , Ret, , , 10, 5, , , 5, 
12, Lorenzo Bandini, , 3, , , , Ret, 8, , , 4, 
13, Ricardo Rodríguez, Ret, DNS, 4, , , 6, 14, , , 4, 
14, Willy Mairesse, , 7, Ret, , , , 4, , , 3, 
15, Joakim Bonnier, 7, 5, , 10, Ret, 7, 6, 13, , 3, 
16, Innes Ireland, Ret, Ret, Ret, Ret, 16, , Ret, 8, 5, 2, 
17, Carel Godin de Beaufort, 6, DNQ, 7, 6, 14, 13, 10, Ret, 11, 2, 
18, Masten Gregory, Ret, DNQ, Ret, Ret, 7, , 12, 6, , 1, 
19, Neville Lederle, , , , , , , , , 6, 1, 
—, Maurice Trintignant, , Ret, 8, 7, , Ret, Ret, Ret, , 0, 
—, Jackie Lewis, 8, DNQ, , Ret, 10, Ret, , , , 0, 
—, John Love, , , , , , , , , 8, 0, 
—, Nino Vaccarella, , DNQ, , , , 15, 9, , , 0, 
—, Lucien Bianchi, , , 9, , , 16, , , , 0, 
—, Roger Penske, , , , , , , , 9, , 0, 
—, Bruce Johnstone, , , , , , , , , 9, 0, 
—, Jo Siffert, , DNQ, 10, Ret, , 12, DNQ, , , 0, 
—, Rob Schroeder, , , , , , , , 10, , 0, 
—, Ernie Pieterse, , , , , , , , , 10, 0, 
—, Ian Burgess, , , , , 12, 11, DNQ, , , 0, 
—, Tony Settember, , , , , 11, , Ret, , , 0, 
—, John Campbell-Jones, , , 11, , , , , , , 0, 
—, Hap Sharp, , , , , , , , 11, , 0, 
—, Heini Walter, , , , , , 14, , , , 0, 
—, Jay Chamberlain, , , , , 15, DNQ, DNQ, , , 0, 
—, Wolfgang Seidel, NC, , , , Ret, DNQ, , , , 0, 
—, Roy Salvadori, Ret, Ret, , Ret, Ret, Ret, Ret, DNS, Ret, 0, 
—, Tony Shelly, , , , , Ret, DNQ, DNQ, , , 0, 
—, Keith Greene, , , , , DNS, Ret, DNQ, , , 0, 
—, Ben Pon, Ret, , , , , , , , , 0, 
—, Heinz Schiller, , , , , , Ret, , , , 0, 
—, Bernard Collomb, , , , , , Ret, , , , 0, 
—, Timmy Mayer, , , , , , , , Ret, , 0, 
—, Doug Serrurier, , , , , , , , , Ret, 0, 
—, Mike Harris, , , , , , , , , Ret, 0, 
—, Günther Seiffert, , , , , , DNQ, , , , 0, 
—, Gerry Ashmore, , , , , , , DNQ, , , 0, 
—, Ernesto Prinoth, , , , , , , DNQ, , , 0, 
—, Roberto Lippi, , , , , , , DNQ, , , 0, 
—, Nasif Estéfano, , , , , , , DNQ, , , 0, 
—, Jim Hall, , , , , , , , DNS, , 0, 
Pos., Driver, NED, MON, BEL, FRA, GBR, GER, ITA, USA, RSA, Pts., 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos., Manufacturer, NED, MON, BEL, FRA, GBR, GER, ITA, USA, RSA, Pts.[a], 
1, BRM, 1, (6), 2, (3), (4), 1, 1, (2), 1, 42 (56), 
2, Lotus-Climax, 2, 8, 1, 7, 1, 4, 9, 1, (5), 36 (38), 
3, Cooper-Climax, (5), 1, Ret, 2, 3, (5), 3, (3), 2, 29 (37), 
4, Lola-Climax, Ret, 4, 5, 5, 2, 2, Ret, Ret, Ret, 19, 
5, Porsche, 6, 5, 7, 1, 9, 3, (6), 5, 11, 18 (19), 
6, Ferrari, 3, 2, 3, WD, Ret, 6, 4, WD, , 18, 
7, Brabham-Climax, , , , , , Ret, , 4, 4, 6, 
8, Lotus-BRM, , DNQ, Ret, Ret, Ret, Ret, 12, 6, , 1, 
—, Emeryson-Climax, NC, , , , 11, , Ret, , WD, 0, 
—, ENB-Maserati, , , , , , 16, , , , 0, 
—, Gilby-BRM, , , , , WD, Ret, DNQ, , , 0, 
—, LDS-Alfa Romeo, , , , , , , , , Ret, 0, 
—, Cooper-Alfa Romeo, , , , , , , , , Ret, 0, 
—, De Tomaso, , , , , , , DNQ, , , 0, 
—, De Tomaso-OSCA, , , , , , , DNQ, , , 0, 
Pos., Manufacturer, NED, MON, BEL, FRA, GBR, GER, ITA, USA, RSA, Pts., 

Race Name, Circuit, Date, Winning driver, Constructor, Report, 
V Cape Grand Prix, Killarney, 2 January, Trevor Taylor, Lotus-Climax, Report, 
IV Brussels Grand Prix, Heysel, 1 April, Willy Mairesse, Ferrari, Report, 
III Lombank Trophy, Snetterton, 14 April, Jim Clark, Lotus-Climax, Report, 
XIV Lavant Cup, Goodwood, 23 April, Bruce McLaren, Cooper-Climax, Report, 
X Glover Trophy, Goodwood, 23 April, Graham Hill, BRM, Report, 
XXII Pau Grand Prix, Pau, 23 April, Maurice Trintignant, Lotus-Climax, Report, 
VII Aintree 200, Aintree, 28 April, Jim Clark, Lotus-Climax, Report, 
XV BRDC International Trophy, Silverstone, 12 May, Graham Hill, BRM, Report, 
XX Naples Grand Prix, Posillipo, 20 May, Willy Mairesse, Ferrari, Report, 
I International 2000 Guineas, Mallory Park, 11 June, John Surtees, Lola-Climax, Report, 
XIII Crystal Palace Trophy, Crystal Palace, 11 June, Innes Ireland, Lotus-BRM, Report, 
