Page - https://en.wikipedia.org/wiki/1963_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Monaco Grand Prix, Monaco, 26 May, Jim Clark, John Surtees, Graham Hill, BRM, D, Report, 
2, Belgian Grand Prix, Spa-Francorchamps, 9 June, Graham Hill, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
3, Dutch Grand Prix, Zandvoort, 23 June, Jim Clark, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
4, French Grand Prix, Reims, 30 June, Jim Clark, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
5, British Grand Prix, Silverstone, 20 July, Jim Clark, John Surtees, Jim Clark, Lotus-Climax, D, Report, 
6, German Grand Prix, Nürburgring, 4 August, Jim Clark, John Surtees, John Surtees, Ferrari, D, Report, 
7, Italian Grand Prix, Monza, 8 September, John Surtees, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
8, United States Grand Prix, Watkins Glen, 6 October, Graham Hill, Jim Clark, Graham Hill, BRM, D, Report, 
9, Mexican Grand Prix, Magdalena Mixhuca, 27 October, Jim Clark, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
10, South African Grand Prix, Prince George, 28 December, Jim Clark, Dan Gurney, Jim Clark, Lotus-Climax, D, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Brabham Racing Organisation, Lotus-Climax, 25, Climax FWMV 1.5 V8, D, Jack Brabham, 1, 
Brabham-Climax, BT7BT3, 2–10, 
Dan Gurney, All, 
Owen Racing Organisation, BRM, P57P61, BRM P56 1.5 V8, D, Richie Ginther, All, 
Graham Hill, All, 
Cooper Car Company, Cooper-Climax, T66, Climax FWMV 1.5 V8, D, Bruce McLaren, All, 
Tony Maggs, All, 
Team Lotus, Lotus-Climax, 25, Climax FWMV 1.5 V8, D, Jim Clark, All, 
Trevor Taylor, 1–6, 8–10, 
Peter Arundell, 4, 
Mike Spence, 7, 
Pedro Rodríguez, 8–9, 
R.R.C. Walker Racing Team, Cooper-Climax, T60T66, Climax FWMV 1.5 V8, D, Jo Bonnier, All, 
British Racing Partnership, Lotus-BRM, 24, BRM P56 1.5 V8, D, Jim Hall, 1–9, 
Innes Ireland, 1, 6, 
BRP-BRM, Mk 1, 2–5, 7, 
Reg Parnell Racing R.H.H. Parnell, Lola-Climax, Mk4A, Climax FWMV 1.5 V8, D, Chris Amon, 1–7, 
Maurice Trintignant, 1, 
Lucien Bianchi, 2, 
Mike Hailwood, 7, 
Masten Gregory, 8–9, 
Lotus-Climax, 24, Climax FWMV 1.5 V8, Maurice Trintignant, 4, 
Mike Hailwood, 5, 
Lotus-BRM, BRM P56 1.5 V8, Masten Gregory, 5, 
Rodger Ward, 8, 
Hap Sharp, 8–9, 
Chris Amon, 9, 
Scuderia Ferrari SpA SEFAC, Ferrari, 156, Ferrari 178 1.5 V6, D, Willy Mairesse, 1–2, 6, 
John Surtees, All, 
Ludovico Scarfiotti, 3–4, 
Lorenzo Bandini, 7–10, 
Bernard Collomb, Lotus-Climax, 24, Climax FWMV 1.5 V8, D, Bernard Collomb, 1, 6, 
Siffert Racing Team, Lotus-BRM, 24, BRM P56 1.5 V8, D, Jo Siffert, 1–9, 
Scirocco Powell Racing Cars, Scirocco-BRM, SP, BRM P56 1.5 V8, D, Tony Settember, 2, 4–7, 
Ian Burgess, 5–6, 
Automobili Turismo e Sport, ATS, 100, ATS 100 1.5 V8, D, Phil Hill, 2–3, 7–9, 
Giancarlo Baghetti, 2–3, 7–9, 
Ecurie Maarsbergen, Porsche, 718, Porsche 547/3 1.5 F4, D, Carel Godin de Beaufort, 2–3, 5–10, 
Gerhard Mitter, 3, 6, 
Ecurie Filipinetti, Lotus-BRM, 24, BRM P56 1.5 V8, D, Phil Hill, 4, 
Scuderia Centro Sud, BRM, P57, BRM P56 1.5 V8, D, Lorenzo Bandini, 4–6, 
Maurice Trintignant, 7, 
Moisés Solana, 9, 
Cooper-Climax, T60, Climax FWMV 1.5 V8, Mário de Araújo Cabral, 6–7, 
Cooper-Maserati, T53, Maserati 6-1500 1.5 L4, Ernesto Brambilla, 7, 
Tim Parnell, Lotus-BRM, 24, BRM P56 1.5 V8, D, Masten Gregory, 4, 7, 
Lola-Climax, Mk4, Climax FWMV 1.5 V8, John Campbell-Jones, 5, 
Lotus-Climax, 18/21, Climax FWMV 1.5 V8, André Pilette, 6, 
Tim Parnell, 6, 
DW Racing Enterprises, Lola-Climax, Mk4, Climax FWMV 1.5 V8, D, Bob Anderson, 5, 7, 
Ian Raby Racing, Gilby-BRM, 62, BRM P56 1.5 V8, D, Ian Raby, 5–7, 
Kurt Kuhnke, Lotus-Borgward, 18, Borgward 1500 RS 1.5 L4, D, Kurt Kuhnke, 6, 
Scuderia Settecolli, De Tomaso-Ferrari, F1, Ferrari 178 1.5 V6, D, Roberto Lippi, 7, 
André Pilette, Lotus-Climax, 18/21, Climax FPF 1.5 L4, D, André Pilette, 7, 
Canadian Stebro Racing, Stebro-Ford, Mk IV, Ford 109E 1.5 L4, D, Peter Broeker, 8, 
Frank Dochnal, Cooper-Climax, T51, Climax FPF 1.5 L4, D, Frank Dochnal, 9, 
Lawson Organisation, Lotus-Climax, 21, Climax FPF 1.5 L4, D, Ernie Pieterse, 10, 
Selby Auto Spares, Lotus-BRM, 24, BRM P56 1.5 V8, D, Paddy Driver, 10, 
Otello Nucci, LDS-Alfa Romeo, Mk 1, Alfa Romeo Giulietta 1.5 L4, D, Doug Serrurier, 10, 
Alfa Romeo, Special, Peter de Klerk, 10, 
John Love, Cooper-Climax, T55, Climax FPF 1.5 L4, D, John Love, 10, 
Sam Tingle, LDS-Alfa Romeo, Mk 1, Alfa Romeo Giulietta 1.5 L4, D, Sam Tingle, 10, 
Ted Lanfear, Lotus-Ford, 22, Ford 109E 1.5 L4, D, Brausch Niemann, 10, 
David Prophet, Brabham-Ford, BT6, Ford 109E 1.5 L4, D, David Prophet, 10, 
Scuderia Lupini, Cooper-Maserati, T51, Maserati 6-1500 1.5 L4, D, Trevor Blokdyk, 10, 

Pos., Driver, MON, BEL, NED, FRA, GBR, GER, ITA, USA, MEX, RSA, Pts.[3], 
1, Jim Clark, 8, 1, 1, 1, 1, (2), 1, (3), 1, (1), 54 (73), 
2, Graham Hill, 1, Ret, Ret, 3‡, 3, Ret, 16, 1, 4, 3, 29, 
=, Richie Ginther, 2, 4, (5), Ret, (4), 3, 2, 2, 3, Ret, 29 (34), 
4, John Surtees, 4, Ret, 3, Ret, 2, 1, Ret, 9, DSQ, Ret, 22, 
5, Dan Gurney, Ret, 3, 2, 5, Ret, Ret, 14, Ret, 6, 2, 19, 
6, Bruce McLaren, 3, 2, Ret, 12, Ret, Ret, 3, 11, Ret, 4, 17, 
7, Jack Brabham, 9, Ret, Ret, 4, Ret, 7, 5, 4, 2, 13, 14, 
8, Tony Maggs, 5, 7, Ret, 2, 9, Ret, 6, Ret, Ret, 7, 9, 
9, Innes Ireland, Ret, Ret, 4, 9, Ret, Ret, 4, , , , 6, 
=, Lorenzo Bandini, , , , 10, 5, Ret, Ret, 5, Ret, 5, 6, 
=, Jo Bonnier, 7, 5, 11, NC, Ret, 6, 7, 8, 5, 6, 6, 
12, Gerhard Mitter, , , Ret, , , 4, , , , , 3, 
=, Jim Hall, Ret, Ret, 8, 11, 6, 5, 8, 10, 8, , 3, 
14, Carel Godin de Beaufort, , 6, 9, , 10, Ret, DNQ, 6, 10, 10, 2, 
15, Jo Siffert, Ret, Ret, 7, 6, Ret, 9, Ret, Ret, 9, , 1, 
=, Trevor Taylor, 6, Ret, 10, 13, Ret, 8, , Ret, Ret, 8, 1, 
=, Ludovico Scarfiotti, , , 6, DNS, , , , , , , 1, 
—, Chris Amon, DNS, Ret, Ret, 7, 7, Ret, DNS, , Ret, , 0, 
—, Hap Sharp, , , , , , , , Ret, 7, , 0, 
—, Peter Broeker, , , , , , , , 7, , , 0, 
—, Maurice Trintignant, Ret, , , 8, , , 9, , , , 0, 
—, Mike Hailwood, , , , , 8, , 10, , , , 0, 
—, Tony Settember, , 8, , Ret, Ret, Ret, DNQ, , , , 0, 
—, John Love, , , , , , , , , , 9, 0, 
—, Bernard Collomb, DNQ, , , , , 10, , , , , 0, 
—, Phil Hill, , Ret, Ret, NC, , , 11, Ret, Ret, , 0, 
—, Masten Gregory, , , , Ret, 11, , Ret, Ret, Ret, , 0, 
—, Moisés Solana, , , , , , , , , 11, , 0, 
—, Doug Serrurier, , , , , , , , , , 11, 0, 
—, Bob Anderson, , , , , 12, , 12, , , , 0, 
—, Trevor Blokdyk, , , , , , , , , , 12, 0, 
—, John Campbell-Jones, , , , , 13, , , , , , 0, 
—, Mike Spence, , , , , , , 13, , , , 0, 
—, Brausch Niemann, , , , , , , , , , 14, 0, 
—, Giancarlo Baghetti, , Ret, Ret, , , , 15, Ret, Ret, , 0, 
—, Willy Mairesse, Ret, Ret, , , , Ret, , , , , 0, 
—, Ian Burgess, , , , , Ret, Ret, , , , , 0, 
—, Pedro Rodriguez, , , , , , , , Ret, Ret, , 0, 
—, Ian Raby, , , , , Ret, DNQ, DNQ, , , , 0, 
—, Lucien Bianchi, , Ret, , , , , , , , , 0, 
—, Mário de Araújo Cabral, , , , , , Ret, DNS, , , , 0, 
—, Rodger Ward, , , , , , , , Ret, , , 0, 
—, Peter de Klerk, , , , , , , , , , Ret, 0, 
—, Sam Tingle, , , , , , , , , , Ret, 0, 
—, Ernie Pieterse, , , , , , , , , , Ret, 0, 
—, David Prophet, , , , , , , , , , Ret, 0, 
—, André Pilette, , , , , , DNQ, DNQ, , , , 0, 
—, Tim Parnell, , , , , , DNQ, , , , , 0, 
—, Kurt Kuhnke, , , , , , DNQ, , , , , 0, 
—, Roberto Lippi, , , , , , , DNQ, , , , 0, 
—, Ernesto Brambilla, , , , , , , DNQ, , , , 0, 
—, Frank Dochnal, , , , , , , , , DNQ, , 0, 
Pos., Driver, MON, BEL, NED, FRA, GBR, GER, ITA, USA, MEX, RSA, Pts.[3], 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos., Manufacturer, MON, BEL, NED, FRA, GBR, GER, ITA, USA, MEX, RSA, Pts.[3], 
1, Lotus-Climax, (6), 1, 1, 1, 1, (2), 1, (3), 1, (1), 54 (74), 
2, BRM, 1, (4), (5), 3‡, 3, 3, 2, 1, 3, (3), 36 (45), 
3, Brabham-Climax, Ret, 3, 2, 4, Ret, 7, (5), 4, 2, 2, 28 (30), 
4, Ferrari, 4, Ret, 3, Ret, 2, 1, Ret, 5, Ret, 5, 26, 
5, Cooper-Climax, 3, 2, 11, 2, 9, (6), 3, 8, 5, 4, 25 (26), 
6, BRP-BRM, , Ret, 4, 9, Ret, , 4, WD, WD, , 6, 
7, Porsche, , 6, 9, , 10, 4, DNQ, 6, 10, 10, 5, 
8, Lotus-BRM, Ret, Ret, 7, 6, 6, 5, 8, 10, 7, DNS, 4, 
—, Lola-Climax, Ret, Ret, Ret, 7, 7, Ret, 10, Ret, Ret, , 0, 
—, Stebro-Ford, , , , , , , , 7, , , 0, 
—, Scirocco-BRM, WD, 8, WD, Ret, Ret, Ret, DNQ, , , , 0, 
—, ATS, WD, Ret, Ret, WD, WD, WD, 11, Ret, Ret, , 0, 
—, LDS-Alfa Romeo, , , , , , , , , , 11, 0, 
—, Cooper-Maserati, , , , , , , DNQ, , , 12, 0, 
—, Lotus-Ford, , , , , , , , , , 14, 0, 
—, Gilby-BRM, , , , , Ret, DNQ, DNQ, , , , 0, 
—, Alfa Romeo, , , , , , , , , , Ret, 0, 
—, Lotus-Borgward, , , , , , DNQ, , , , , 0, 
—, De Tomaso-Ferrari, , , , , , , DNQ, , , , 0, 
Pos., Manufacturer, MON, BEL, NED, FRA, GBR, GER, ITA, USA, MEX, RSA, Pts., 

#, Race Name, Circuit, Date, Winning driver, Constructor, Report, 
1, IV Lombank Trophy, Snetterton, 30 March, Graham Hill, BRM, Report, 
