Page - https://en.wikipedia.org/wiki/1965_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, South African Grand Prix, Prince George, 1 January, Jim Clark, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
2, Monaco Grand Prix, Monaco, 30 May, Graham Hill, Graham Hill, Graham Hill, BRM, D, Report, 
3, Belgian Grand Prix, Spa-Francorchamps, 13 June, Graham Hill, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
4, French Grand Prix, Charade, 27 June, Jim Clark, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
5, British Grand Prix, Silverstone, 10 July, Jim Clark, Graham Hill, Jim Clark, Lotus-Climax, D, Report, 
6, Dutch Grand Prix, Zandvoort, 18 July, Graham Hill, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
7, German Grand Prix, Nürburgring, 1 August, Jim Clark, Jim Clark, Jim Clark, Lotus-Climax, D, Report, 
8, Italian Grand Prix, Monza, 12 September, Jim Clark, Jim Clark, Jackie Stewart, BRM, D, Report, 
9, United States Grand Prix, Watkins Glen, 3 October, Graham Hill, Graham Hill, Graham Hill, BRM, D, Report, 
10, Mexican Grand Prix, Magdalena Mixhuca, 24 October, Jim Clark, Dan Gurney, Richie Ginther, Honda, G, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Scuderia Ferrari SpA SEFAC North American Racing Team, Ferrari, 1581512, Ferrari 205B 1.5 V8Ferrari 207 1.5 F12, D, John Surtees, 1–8, 
Lorenzo Bandini, All, 
Nino Vaccarella, 8, 
Pedro Rodríguez, 9–10, 
Bob Bondurant, 9, 
Ludovico Scarfiotti, 10, 
Owen Racing Organisation, BRM, P261, BRM P56 1.5 V8, D, Graham Hill, All, 
Jackie Stewart, All, 
Team Lotus, Lotus-Climax, 3325, Climax FWMV 1.5 V8, D, Jim Clark, 1, 3–10, 
Mike Spence, 1, 3–10, 
Gerhard Mitter, 7, 
Geki, 8, 
Moisés Solana, 9–10, 
Brabham Racing Organisation, Brabham-Climax, BT7BT11, Climax FWMV 1.5 V8, G, Jack Brabham, 1–3, 5, 7, 9–10, 
Dan Gurney, 1, 3–10, 
Denny Hulme, 2, 4–8, 
Giancarlo Baghetti, 8, 
Cooper Car Company, Cooper-Climax, T77T73, Climax FWMV 1.5 V8, D, Bruce McLaren, All, 
Jochen Rindt, All, 
R.R.C. Walker Racing Team, Brabham-Climax, BT7, Climax FWMV 1.5 V8, D, Jo Bonnier, All, 
Brabham-BRM, BT11, BRM P56 1.5 V8, Jo Siffert, All, 
DW Racing Enterprises, Brabham-Climax, BT11, Climax FWMV 1.5 V8, D, Bob Anderson, 1–7, 
Lotus-Climax, 33, Paul Hawkins, 2, 7, 
Reg Parnell Racing, Lotus-BRM, 2533, BRM P56 1.5 V8, D, Tony Maggs, 1, 
Richard Attwood, 2–3, 5–10, 
Mike Hailwood, 2, 
Innes Ireland, 3–6, 8–10, 
Chris Amon, 4, 7, 
Bob Bondurant, 10, 
John Willment Automobiles, Brabham-BRM, BT11, BRM P56 1.5 V8, D, Frank Gardner, 1–3, 5–8, 
Brabham-Ford, BT10, Ford 109E 1.5 L4, Paul Hawkins, 1, 
John Love, Cooper-Climax, T55, Climax FPF 1.5 L4, D, John Love, 1, 
David Prophet, Brabham-Ford, BT10, Ford 109E 1.5 L4, D, David Prophet, 1, 
Otello Nucci, Alfa Romeo, Special, Alfa Romeo Giulietta 1.5 L4, D, Peter de Klerk, 1, 
LDS-Climax, Mk 2, Climax FPF 1.5 L4, Doug Serrurier, 1, 
Lawson Organisation, Lotus-Climax, 21, Climax FPF 1.5 L4, D, Ernie Pieterse, 1, 
Scuderia Scribante, Lotus-Climax, 21, Climax FPF 1.5 L4, D, Neville Lederle, 1, 
Clive Puzey, Lotus-Climax, 18/21, Climax FPF 1.5 L4, D, Clive Puzey, 1, 
Sam Tingle, LDS-Alfa Romeo, Mk 1, Alfa Romeo Giulietta 1.5 L4, D, Sam Tingle, 1, 
Ted Lanfear, Lotus-Ford, 22, Ford 109E 1.5 L4, D, Brausch Niemann, 1, 
Trevor Blokdyk, Cooper-Ford, T59, Ford 109E 1.5 L4, D, Trevor Blokdyk, 1, 
Jackie Pretorius, LDS-Alfa Romeo, Mk 1, Alfa Romeo Giulietta 1.5 L4, D, Jackie Pretorius, 1, 
Brian Raubenheimer, Lotus-Ford, 20, Ford 109E 1.5 L4, D, Brian Raubenheimer, 1, 
Ecurie Tomahawk, Lotus-Ford, 20, Ford 109E 1.5 L4, D, Dave Charlton, 1, 
Honda R & D Company, Honda, RA272, Honda RA272E 1.5 V12, G, Ronnie Bucknum, 2–4, 8–10, 
Richie Ginther, 2–6, 8–10, 
Scuderia Centro Sud, BRM, P57, BRM P56 1.5 V8, D, Lucien Bianchi, 3, 
Masten Gregory, 3, 5, 7–8, 
Roberto Bussinello, 7–8, 
Giorgio Bassi, 8, 
Bob Gerard Racing, Cooper-Climax, T60, Climax FWMV 1.5 V8, D, John Rhodes, 5, 
Cooper-Ford, T73, Ford 109E 1.5 L4, Alan Rollinson, 5, 
Ian Raby Racing, Brabham-BRM, BT3, BRM P56 1.5 V8, D, Ian Raby, 5, 7, 
Chris Amon, 5, 
Brian Gubby, Lotus-Climax, 24, Climax FWMV 1.5 V8, D, Brian Gubby, 5, 

Pos., Driver, RSA, MON, BEL, FRA, GBR, NED, GER, ITA, USA, MEX, Pts.[a], 
1, Jim Clark, 1, , 1, 1, 1, 1, 1, 10, Ret, Ret, 54, 
2, Graham Hill, 3, 1, (5), (5), 2, (4), 2, 2, 1, Ret, 40 (47), 
3, Jackie Stewart, (6), 3, 2, 2, 5, 2, Ret, 1, Ret, Ret, 33 (34), 
4, Dan Gurney, Ret, , 10, Ret, 6, 3, 3, 3, 2, 2, 25, 
5, John Surtees, 2, 4, Ret, 3, 3, 7, Ret, Ret, , , 17, 
6, Lorenzo Bandini, 15, 2, 9, 8, Ret, 9, 6, 4, 4, 8, 13, 
7, Richie Ginther, , Ret, 6, Ret, Ret, 6, , 14, 7, 1, 11, 
8, Mike Spence, 4, , 7, 7, 4, 8, Ret, 11, Ret, 3, 10, 
=, Bruce McLaren, 5, 5, 3, Ret, 10, Ret, Ret, 5, Ret, Ret, 10, 
10, Jack Brabham, 8, Ret, 4, , DNS, , 5, , 3, Ret, 9, 
11, Denny Hulme, , 8, , 4, Ret, 5, Ret, Ret, , , 5, 
=, Jo Siffert, 7, 6, 8, 6, 9, 13, Ret, Ret, 11, 4, 5, 
13, Jochen Rindt, Ret, DNQ, 11, Ret, 14, Ret, 4, 8, 6, Ret, 4, 
14, Pedro Rodríguez, , , , , , , , , 5, 7, 2, 
=, Ronnie Bucknum, , Ret, Ret, Ret, , , , Ret, 13, 5, 2, 
=, Richard Attwood, , Ret, 14, , 13, 12, Ret, 6, 10, 6, 2, 
—, Jo Bonnier, Ret, 7, Ret, Ret, 7, Ret, 7, 7, 8, Ret, 0, 
—, Frank Gardner, 12, Ret, Ret, , 8, 11, Ret, Ret, , , 0, 
—, Masten Gregory, , , Ret, , 12, , 8, Ret, , , 0, 
—, Bob Anderson, NC, 9, DNS, 9, Ret, Ret, DNS, , , , 0, 
—, Innes Ireland, , , 13, Ret, Ret, 10, , 9, Ret, DNS, 0, 
—, Paul Hawkins, 9, 10, , , , , Ret, , , , 0, 
—, Bob Bondurant, , , , , , , , , 9, Ret, 0, 
—, Peter de Klerk, 10, , , , , , , , , , 0, 
—, Tony Maggs, 11, , , , , , , , , , 0, 
—, Ian Raby, , , , , 11, , DNQ, , , , 0, 
—, Moisés Solana, , , , , , , , , 12, Ret, 0, 
—, Lucien Bianchi, , , 12, , , , , , , , 0, 
—, Nino Vaccarella, , , , , , , , 12, , , 0, 
—, Sam Tingle, 13, , , , , , , , , , 0, 
—, Roberto Bussinello, , , , , , , DNQ, 13, , , 0, 
—, David Prophet, 14, , , , , , , , , , 0, 
—, Chris Amon, , , , Ret, DNS, , Ret, , , , 0, 
—, John Love, Ret, , , , , , , , , , 0, 
—, Mike Hailwood, , Ret, , , , , , , , , 0, 
—, John Rhodes, , , , , Ret, , , , , , 0, 
—, Gerhard Mitter, , , , , , , Ret, , , , 0, 
—, Giancarlo Baghetti, , , , , , , , Ret, , , 0, 
—, Geki, , , , , , , , Ret, , , 0, 
—, Giorgio Bassi, , , , , , , , Ret, , , 0, 
—, Alan Rollinson, , , , , DNS, , , , , , 0, 
—, Ludovico Scarfiotti, , , , , , , , , , DNS, 0, 
—, Trevor Blokdyk, DNQ, , , , , , , , , , 0, 
—, Doug Serrurier, DNQ, , , , , , , , , , 0, 
—, Neville Lederle, DNQ, , , , , , , , , , 0, 
—, Brausch Niemann, DNQ, , , , , , , , , , 0, 
—, Ernie Pieterse, DNQ, , , , , , , , , , 0, 
—, Brian Gubby, , , , , DNQ, , , , , , 0, 
—, Jackie Pretorius, DNPQ, , , , , , , , , , 0, 
—, Clive Puzey, DNPQ, , , , , , , , , , 0, 
—, Dave Charlton, DNPQ, , , , , , , , , , 0, 
Pos., Driver, RSA, MON, BEL, FRA, GBR, NED, GER, ITA, USA, MEX, Pts., 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos., Manufacturer, RSA, MON, BEL, FRA, GBR, NED, GER, ITA, USA, MEX, Pts.[a], 
1, Lotus-Climax, 1, 10, 1, 1, 1, 1, 1, 10, 12, (3), 54 (58), 
2, BRM, (3), 1, 2, 2, 2, (2), (2), 1, 1, Ret, 45 (61), 
3, Brabham-Climax, 8, 7, 4, (4), (6), 3, 3, 3, 2, 2, 27 (31), 
4, Ferrari, 2, 2, 9, 3, 3, 7, (6), 4, 4, 7, 26 (27), 
5, Cooper-Climax, 5, 5, 3, Ret, 10, Ret, 4, 5, 6, Ret, 14, 
6, Honda, , Ret, 6, Ret, Ret, 6, , 14, 7, 1, 11, 
7, Brabham-BRM, 7, 6, 8, 6, 8, 11, Ret, Ret, 11, 4, 5, 
8, Lotus-BRM, 11, Ret, 13, Ret, 13, 10, Ret, 6, 10, 6, 2, 
—, Brabham-Ford, 9, , , , , , , , , , 0, 
—, Alfa Romeo, 10, , , , , , , , , , 0, 
—, LDS-Alfa Romeo, 13, , , , , , , , , , 0, 
—, Cooper-Ford, DNQ, , , , DNS, , , , , , 0, 
—, LDS-Climax, DNQ, , , , , , , , , , 0, 
—, Lotus-Ford, DNQ, , , , , , , , , , 0, 
