Page - https://en.wikipedia.org/wiki/1966_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Monaco Grand Prix, Monaco, 22 May, Jim Clark, Lorenzo Bandini, Jackie Stewart, BRM, D, Report, 
2, Belgian Grand Prix, Spa-Francorchamps, 12 June, John Surtees, John Surtees, John Surtees, Ferrari, D, Report, 
3, French Grand Prix, Reims, 3 July, Lorenzo Bandini, Lorenzo Bandini, Jack Brabham, Brabham-Repco, G, Report, 
4, British Grand Prix, Brands Hatch, 16 July, Jack Brabham, Jack Brabham, Jack Brabham, Brabham-Repco, G, Report, 
5, Dutch Grand Prix, Zandvoort, 24 July, Jack Brabham, Denny Hulme, Jack Brabham, Brabham-Repco, G, Report, 
6, German Grand Prix, Nürburgring, 7 August, Jim Clark, John Surtees, Jack Brabham, Brabham-Repco, G, Report, 
7, Italian Grand Prix, Monza, 4 September, Mike Parkes, Ludovico Scarfiotti, Ludovico Scarfiotti, Ferrari, F, Report, 
8, United States Grand Prix, Watkins Glen, 2 October, Jack Brabham, John Surtees, Jim Clark, Lotus-BRM, F, Report, 
9, Mexican Grand Prix, Magdalena Mixhuca, 23 October, John Surtees, Richie Ginther, John Surtees, Cooper-Maserati, D, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Bruce McLaren Motor Racing, McLaren-Ford, M2B, Ford 406 3.0 V8, F, Bruce McLaren, 1, 8–9, 
McLaren-Serenissima, Serenissima M166 3.0 V8, 2, 4–5, 
Team Lotus, Lotus-Climax, 33, Climax FWMV 2.0 V8, F, Jim Clark, 1–6, 
Geki, 7, 
Peter Arundell, 8, 
Pedro Rodríguez, 3, 9, 
Lotus-BRM, 4333, BRM P75 3.0 H16BRM P60 2.0 V8, 8, 
Peter Arundell, 2–7, 9, 
Jim Clark, 7–9, 
Lotus-Ford, 44, Ford Cosworth SCA 1.0 L4, D, Gerhard Mitter, 6, 
Pedro Rodríguez, 6, 
Piers Courage, 6, 
Reg Parnell Racing, Lotus-BRM, 33, BRM P60 2.0 V8, F, Mike Spence, All, 
Ferrari, 246, Ferrari 228 2.4 V6, Giancarlo Baghetti, 7, 
Brabham Racing Organisation, Brabham-Repco, BT19BT20, Repco 620 3.0 V8, G, Jack Brabham, All, 
Denny Hulme, 3–9, 
Brabham-Climax, BT22, Climax FPF 2.8 L4, 1–2, 
Chris Irwin, 4, 
Cooper Car Company, Cooper-Maserati, T81, Maserati 9/F1 3.0 V12, D, Richie Ginther, 1–2, 
Jochen Rindt, All, 
Chris Amon, 3, 
John Surtees, 3–9, 
Moisés Solana, 9, 
Owen Racing Organisation, BRM, P261P83, BRM P60 2.0 V8BRM P75 3.0 H16, D, Graham Hill, All, 
Jackie Stewart, 1–2, 4–9, 
R.R.C. Walker Racing Team, Brabham-BRM, BT11, BRM P60 2.0 V8, D, Jo Siffert, 1, 
Cooper-Maserati, T81, Maserati 9/F1 3.0 V12, 2–5, 7–9, 
DW Racing Enterprises, Brabham-Climax, BT11, Climax FPF 2.8 L4, F, Bob Anderson, 1, 3–7, 
Scuderia Ferrari SpA SEFAC, Ferrari, 246312/66, Ferrari 228 2.4 V6Ferrari 218 3.0 V12, FD, Lorenzo Bandini, 1–3, 5–8, 
John Surtees, 1–2, 
Mike Parkes, 3, 5–7, 
Ludovico Scarfiotti, 6–7, 
Anglo-Suisse Racing Team, Cooper-Maserati, T81, Maserati 9/F1 3.0 V12, F, Joakim Bonnier, 1–2, 5–9, 
Brabham-Climax, BT22BT7, Climax FPF 2.8 L4Climax FWMV 2.0 V8, 3–4, 
Team Chamaco Collect, BRM, P261, BRM P60 2.0 V8, G, Bob Bondurant, 1–2, 4, 6–7, 
Vic Wilson, 2, 
Phil Hill, Lotus-Climax, 25, Climax FWMV 2.0 V8, F, Phil Hill, 1, 
McLaren-Ford, M2B, Ford 406 3.0 V8, 2, 
Guy Ligier, Cooper-Maserati, T81, Maserati 9/F1 3.0 V12, D, Guy Ligier, 1–6, 
Anglo American Racers, Eagle-Climax, Mk1, Climax FPF 2.8 L4, G, Dan Gurney, 2–6, 9, 
Phil Hill, 7, 
Bob Bondurant, 8, 
Eagle-Weslake, Weslake 58 3.0 V12, Dan Gurney, 7–8, 
Bob Bondurant, 9, 
David Bridges, Brabham-BRM, BT11, BRM P60 2.0 V8, G, John Taylor, 3–6, 
Shannon Racing Cars, Shannon-Climax, SH1, Climax FPE 3.0 V8, D, Trevor Taylor, 4, 
J.A. Pearce Engineering Ltd, Cooper-Ferrari, T73, Ferrari 218 3.0 V12, D, Chris Lawrence, 4, 6, 
Caltex Racing Team, Brabham-Ford, BT18, Ford Cosworth SCA 1.0 L4, D, Kurt Ahrens, Jr., 6, 
Tyrrell Racing Organisation, Matra-BRM, MS5, BRM 1.0 L4, D, Hubert Hahne, 6, 
Matra-Ford, Ford Cosworth SCA 1.0 L4, Jacky Ickx, 6, 
Roy Winkelmann Racing, Brabham-Ford, BT18, Ford Cosworth SCA 1.0 L4, D, Hans Herrmann, 6, 
Alan Rees, 6, 
Matra Sports, Matra-Ford, MS5, Ford Cosworth SCA 1.0 L4, D, Jo Schlesser, 6, 
Jean-Pierre Beltoise, 6, 
Silvio Moser, Brabham-Ford, BT16, Ford Cosworth SCA 1.0 L4, D, Silvio Moser, 6, 
Honda R & D Company, Honda, RA273, Honda RA273E 3.0 V12, G, Richie Ginther, 7–9, 
Ronnie Bucknum, 8–9, 
Chris Amon Racing, Brabham-BRM, BT11, BRM P60 1.9 V8, D, Chris Amon, 7, 
Bernard White Racing, BRM, P261, BRM P60 1.9 V8, D, Innes Ireland, 8–9, 

Pos., Driver, MON, BEL, FRA, GBR, NED, GER, ITA, USA, MEX, Pts.[a], 
1, Jack Brabham, Ret, (4), 1, 1, 1, 1, Ret, Ret, 2, 42 (45), 
2, John Surtees, Ret, 1, Ret, Ret, Ret, 2, Ret, 3, 1, 28, 
3, Jochen Rindt, Ret, 2, 4, (5), Ret, 3, 4, 2, Ret, 22 (24), 
4, Denny Hulme, Ret, Ret, 3, 2, Ret, Ret, 3, Ret, 3, 18, 
5, Graham Hill, 3, Ret, Ret, 3, 2, 4, Ret, Ret, Ret, 17, 
6, Jim Clark, Ret, Ret, DNS, 4, 3, Ret, Ret, 1, Ret, 16, 
7, Jackie Stewart, 1, Ret, , Ret, 4, 5, Ret, Ret, Ret, 14, 
8, Mike Parkes, , , 2, , Ret, Ret, 2, , , 12, 
=, Lorenzo Bandini, 2, 3, NC, , 6, 6, Ret, Ret, , 12, 
10, Ludovico Scarfiotti, , , , , , Ret, 1, , , 9, 
11, Richie Ginther, Ret, 5, , , , , Ret, Ret, 4, 5, 
12, Dan Gurney, , NC, 5, Ret, Ret, 7, Ret, Ret, 5, 4, 
=, Mike Spence, Ret, Ret, Ret, Ret, 5, Ret, 5, Ret, DNS, 4, 
14, Bob Bondurant, 4, Ret, , 9, , Ret, 7, DSQ, Ret, 3, 
=, Jo Siffert, Ret, Ret, Ret, NC, Ret, , Ret, 4, Ret, 3, 
=, Bruce McLaren, Ret, DNS, , 6, DNS, , , 5, Ret, 3, 
17, Peter Arundell, , DNS, Ret, Ret, Ret, 12, 8, 6, 7, 1, 
=, Jo Bonnier, NC, Ret, NC, Ret, 7, Ret, Ret, NC, 6, 1, 
=, Bob Anderson, Ret, , 7, NC, Ret, Ret, 6, , , 1, 
=, John Taylor, , , 6, 8, 8, Ret, , , , 1, 
—, Chris Irwin, , , , 7, , , , , , 0, 
—, Ronnie Bucknum, , , , , , , , Ret, 8, 0, 
—, Chris Amon, , , 8, , , , DNQ, , , 0, 
—, Guy Ligier, NC, NC, NC, 10, 9, DNS, , , , 0, 
—, Geki, , , , , , , 9, , , 0, 
—, Chris Lawrence, , , , 11, , Ret, , , , 0, 
—, Giancarlo Baghetti, , , , , , , NC, , , 0, 
—, Pedro Rodríguez, , , Ret, , , Ret1, , Ret, Ret, 0, 
—, Innes Ireland, , , , , , , , Ret, Ret, 0, 
—, Trevor Taylor, , , , Ret, , , , , , 0, 
—, Moisés Solana, , , , , , , , , Ret, 0, 
—, Phil Hill, DNS, Ret, , , , , DNQ, , , 0, 
—, Vic Wilson, , DNS, , , , , , , , 0, 
Drivers ineligible for Formula One points, because they drove with Formula Two cars, 
—, Jean-Pierre Beltoise, , , , , , 8, , , , , 
—, Hubert Hahne, , , , , , 9, , , , , 
—, Jo Schlesser, , , , , , 10, , , , , 
—, Hans Herrmann, , , , , , 11, , , , , 
—, Piers Courage, , , , , , Ret, , , , , 
—, Alan Rees, , , , , , Ret, , , , , 
—, Kurt Ahrens, Jr., , , , , , Ret, , , , , 
—, Jacky Ickx, , , , , , Ret, , , , , 
—, Silvio Moser, , , , , , DNS, , , , , 
—, Gerhard Mitter, , , , , , DNS, , , , , 
Pos., Driver, MON, BEL, FRA, GBR, NED, GER, ITA, USA, MEX, Pts., 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos., Manufacturer, MON, BEL, FRA, GBR, NED, GER, ITA, USA, MEX, Pts.[a], 
1, Brabham-Repco, Ret, (4), 1, 1, 1, 1, (3), Ret, 2, 42 (49), 
2, Ferrari, 2, 1, 2, , 6, (6), 1, Ret, , 31 (32), 
3, Cooper-Maserati, NC, 2, 4, (5), 7, 2, (4), 2, 1, 30 (35), 
4, BRM, 1, Ret, Ret, 3, 2, 4, 7, Ret, Ret, 22, 
5, Lotus-BRM, Ret, Ret, Ret, Ret, 5, 12, 5, 1, 7, 13, 
6, Lotus-Climax, Ret, Ret, Ret, 4, 3, Ret, 9, 6, , 8, 
7, Eagle-Climax, , NC, 5, Ret, Ret, 7, DNQ, DSQ, 5, 4, 
8, Honda, , , , , , , Ret, NC, 4, 3, 
9, McLaren-Ford, Ret, Ret, , , , , , 5, Ret, 2, 
10, Brabham-Climax, Ret, Ret, 7, 7, Ret, Ret, 6, , , 1, 
=, Brabham-BRM, Ret, , 6, 8, 8, Ret, DNQ, , , 1, 
=, McLaren-Serenissima, , DNS, , 6, DNS, , , , , 1, 
—, Cooper-Ferrari, , , , 11, , Ret, , , , 0, 
—, Eagle-Weslake, , , , , , , Ret, Ret, Ret, 0, 
—, Shannon-Climax, , , , Ret, , , , , , 0, 
Pos., Manufacturer, MON, BEL, FRA, GBR, NED, GER, ITA, USA, MEX, Pts., 

Race Name, Circuit, Date, Winning driver, Constructor, Report, 
South African Grand Prix, Prince George, 1 January, Mike Spence, Lotus-Climax, Report, 
Gran Premio di Siracusa, Syracuse, 1 May, John Surtees, Ferrari, Report, 
BRDC International Trophy, Silverstone, 14 May, Jack Brabham, Brabham-Repco, Report, 
International Gold Cup, Oulton Park, 17 September, Jack Brabham, Brabham-Repco, Report, 
