Page - https://en.wikipedia.org/wiki/1968_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, South African Grand Prix, Kyalami, 1 January, Jim Clark, Jim Clark, Jim Clark, Lotus-Ford, F, Report, 
2, Spanish Grand Prix, Jarama, 12 May, Chris Amon, Jean-Pierre Beltoise, Graham Hill, Lotus-Ford, F, Report, 
3, Monaco Grand Prix, Monaco, 26 May, Graham Hill, Richard Attwood, Graham Hill, Lotus-Ford, F, Report, 
4, Belgian Grand Prix, Spa-Francorchamps, 9 June, Chris Amon, John Surtees, Bruce McLaren, McLaren-Ford, G, Report, 
5, Dutch Grand Prix, Zandvoort, 23 June, Chris Amon, Jean-Pierre Beltoise, Jackie Stewart, Matra-Ford, D, Report, 
6, French Grand Prix, Rouen-Les-Essarts, 7 July, Jochen Rindt, Pedro Rodríguez, Jacky Ickx, Ferrari, F, Report, 
7, British Grand Prix, Brands Hatch, 20 July, Graham Hill, Jo Siffert, Jo Siffert, Lotus-Ford, F, Report, 
8, German Grand Prix, Nürburgring, 4 August, Jacky Ickx, Jackie Stewart, Jackie Stewart, Matra-Ford, D, Report, 
9, Italian Grand Prix, Monza, 8 September, John Surtees, Jackie Oliver, Denny Hulme, McLaren-Ford, G, Report, 
10, Canadian Grand Prix, Mont-Tremblant, 22 September, Jochen Rindt, Jo Siffert, Denny Hulme, McLaren-Ford, G, Report, 
11, United States Grand Prix, Watkins Glen, 6 October, Mario Andretti, Jackie Stewart, Jackie Stewart, Matra-Ford, D, Report, 
12, Mexican Grand Prix, Magdalena Mixhuca, 3 November, Jo Siffert, Jo Siffert, Graham Hill, Lotus-Ford, F, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Bruce McLaren Motor Racing, McLaren-BRM, M5A, BRM P142 3.0 V12, G, Denny Hulme, 1, 
McLaren-Ford, M7A, Ford Cosworth DFV 3.0 V8, 2–12, 
Bruce McLaren, 2–12, 
Brabham Racing Organisation, Brabham-Repco, BT24BT26, Repco 740 3.0 V8Repco 860 3.0 V8, G, Jack Brabham, All, 
Jochen Rindt, All, 
Dan Gurney, 5, 
Team Lotus Gold Leaf Team Lotus, Lotus-Ford, 4949B, Ford Cosworth DFV 3.0 V8, F, Jim Clark, 1, 
Graham Hill, All, 
Jackie Oliver, 3–12, 
Mario Andretti, 9, 11, 
Bill Brack, 10, 
Moisés Solana, 12, 
Anglo American Racers, Eagle-Weslake, T1G, Weslake 58 3.0 V12, G, Dan Gurney, 1, 3, 7–9, 
McLaren-Ford, M7A, Ford Cosworth DFV 3.0 V8, 10–12, 
Honda Racing, Honda, RA300RA301RA302, Honda RA273E 3.0 V12Honda RA301E 3.0 V12Honda RA302E 3.0 V8, F, John Surtees, All, 
Jo Schlesser, 6, 
David Hobbs, 9, 
Scuderia Ferrari SpA SEFAC, Ferrari, 312/67312/67/68312/68, Ferrari 242 3.0 V12Ferrari 242C 3.0 V12, F, Chris Amon, 1–2, 4–12, 
Jacky Ickx, 1–2, 4–10, 12, 
Andrea de Adamich, 1, 
Derek Bell, 9, 11, 
Owen Racing Organisation, BRM, P126P115P133P138, BRM P142 3.0 V12BRM P75 3.0 H16, G, Pedro Rodríguez, All, 
Mike Spence, 1, 
Richard Attwood, 3–8, 
Bobby Unser, 9, 11, 
Cooper Car Company, Cooper-Maserati, T81BT86, Maserati 10/F1 3.0 V12, F, Brian Redman, 1, 
Ludovico Scarfiotti, 1, 
Cooper-BRM, T86B, BRM P142 3.0 V12, Brian Redman, 2, 4, 
Ludovico Scarfiotti, 2–3, 
Lucien Bianchi, 3–5, 8, 10–12, 
Vic Elford, 6–12, 
Johnny Servoz-Gavin, 6, 
Robin Widdows, 7, 
Matra International, Matra-Ford, MS9MS10, Ford Cosworth DFV 3.0 V8, D, Jackie Stewart, 1, 4–12, 
Johnny Servoz-Gavin, 3, 9–10, 12, 
Jean-Pierre Beltoise, 2, 
Matra Sports, MS7, Ford Cosworth FVA 1.6 L4, 1, 
Matra, MS11, Matra MS9 3.0 V12, 3–12, 
Henri Pescarolo, 10–12, 
Team Gunston, Brabham-Repco, BT20, Repco 620 3.0 V8, F, John Love, 1, 
LDS-Repco, Mk 3, Sam Tingle, 1, 
Rob Walker/Jack Durlacher Racing Team, Cooper-Maserati, T81, Maserati 9/F1 3.0 V12, F, Jo Siffert, 1, 
Lotus-Ford, 4949B, Ford Cosworth DFV 3.0 V8, 2–12, 
Joakim Bonnier Racing Team, Cooper-Maserati, T81, Maserati 9/F1 3.0 V12, FG, Joakim Bonnier, 1, 
McLaren-BRM, M5A, BRM P142 3.0 V12, 3–5, 7, 9–11, 
Honda, RA301, Honda RA301E 3.0 V12, 12, 
Scuderia Scribante, Brabham-Repco, BT11, Repco 620 3.0 V8, F, Dave Charlton, 1, 
Team Pretoria, Brabham-Climax, BT11, Climax FPF 2.8 L4, F, Jackie Pretorius, 1, 
John Love, Cooper-Climax, T79, Climax FPF 2.8 L4, F, Basil van Rooyen, 1, 
Reg Parnell Racing, BRM, P126, BRM P142 3.0 V12, G, Piers Courage, 2–12, 
Charles Vögele Racing, Brabham-Repco, BT20, Repco 620 3.0 V8, G, Silvio Moser, 3, 5, 7–9, 
Caltex Racing Team, Brabham-Repco, BT24, Repco 740 3.0 V8, D, Kurt Ahrens, Jr., 8, 
Bayerische Motoren Werke AG, Lola-BMW, T102, BMW M12/1 1.6 L4, D, Hubert Hahne, 8, 
Bernard White Racing, BRM, P261, BRM P142 3.0 V12, G, Frank Gardner, 9, 
Castrol Oils Ltd, Eagle-Climax, T1F, Climax FPF 2.8 L4, G, Al Pease, 10, 

Pos., Driver, RSA, ESP, MON, BEL, NED, FRA, GBR, GER, ITA, CAN, USA, MEX, Pts., 
1, Graham Hill, 2, 1, 1, Ret, 9, Ret, Ret, 2, Ret, 4, 2, 1, 48, 
2, Jackie Stewart, Ret, , , 4, 1, 3, 6, 1, Ret, 6, 1, 7, 36, 
3, Denny Hulme, 5, 2, 5, Ret, Ret, 5, 4, 7, 1, 1, Ret, Ret, 33, 
4, Jacky Ickx, Ret, Ret, , 3, 4, 1, 3, 4, 3, DNS, , Ret, 27, 
5, Bruce McLaren, , Ret, Ret, 1, Ret, 8, 7, 13, Ret, 2, 6, 2, 22, 
6, Pedro Rodríguez, Ret, Ret, Ret, 2, 3, NC, Ret, 6, Ret, 3, Ret, 4, 18, 
7, Jo Siffert, 7, Ret, Ret, 7, Ret, 11, 1, Ret, Ret, Ret, 5, 6, 12, 
8, John Surtees, 8, Ret, Ret, Ret, Ret, 2, 5, Ret, Ret, Ret, 3, Ret, 12, 
9, Jean-Pierre Beltoise, 6, 5, Ret, 8, 2, 9, Ret, Ret, 5, Ret, Ret, Ret, 11, 
10, Chris Amon, 4, Ret, , Ret, 6, 10, 2, Ret, Ret, Ret, Ret, Ret, 10, 
11, Jim Clark, 1, , , , , , , , , , , , 9, 
12, Jochen Rindt, 3, Ret, Ret, Ret, Ret, Ret, Ret, 3, Ret, Ret, Ret, Ret, 8, 
13, Richard Attwood, , , 2, Ret, 7, 7, Ret, 14, , , , , 6, 
14, Johnny Servoz-Gavin, , , Ret, , , Ret, , , 2, Ret, , Ret, 6, 
15, Jackie Oliver, , , Ret, 5, NC, DNS, Ret, 11, Ret, Ret, DNS, 3, 6, 
16, Ludovico Scarfiotti, Ret, 4, 4, , , , , , , , , , 6, 
17, Lucien Bianchi, , , 3, 6, Ret, , , Ret, , NC, NC, Ret, 5, 
18, Vic Elford, , , , , , 4, Ret, Ret, Ret, 5, Ret, 8, 5, 
19, Brian Redman, Ret, 3, , Ret, , , , , , , , , 4, 
20, Piers Courage, , Ret, Ret, Ret, Ret, 6, 8, 8, 4, Ret, Ret, Ret, 4, 
21, Dan Gurney, Ret, , Ret, , Ret, , Ret, 9, Ret, Ret, 4, Ret, 3, 
22, Jo Bonnier, Ret, , DNQ, Ret, 8, , Ret, , 6, Ret, NC, 5, 3, 
23, Jack Brabham, Ret, DNS, Ret, Ret, Ret, Ret, Ret, 5, Ret, Ret, Ret, 10, 2, 
24, Silvio Moser, , , DNQ, , 5, , NC, DNS, DNQ, , , , 2, 
—, Henri Pescarolo, , , , , , , , , , Ret, DNS, 9, 0, 
—, John Love, 9, , , , , , , , , , , , 0, 
—, Hubert Hahne, , , , , , , , 10, , , , , 0, 
—, Kurt Ahrens, Jr., , , , , , , , 12, , , , , 0, 
—, Jackie Pretorius, NC, , , , , , , , , , , , 0, 
—, Derek Bell, , , , , , , , , Ret, , Ret, , 0, 
—, Mario Andretti, , , , , , , , , DNS, , Ret, , 0, 
—, Bobby Unser, , , , , , , , , DNS, , Ret, , 0, 
—, Andrea de Adamich, Ret, , , , , , , , , , , , 0, 
—, Dave Charlton, Ret, , , , , , , , , , , , 0, 
—, Mike Spence, Ret, , , , , , , , , , , , 0, 
—, Basil van Rooyen, Ret, , , , , , , , , , , , 0, 
—, Sam Tingle, Ret, , , , , , , , , , , , 0, 
—, Jo Schlesser, , , , , , Ret, , , , , , , 0, 
—, Robin Widdows, , , , , , , Ret, , , , , , 0, 
—, David Hobbs, , , , , , , , , Ret, , , , 0, 
—, Bill Brack, , , , , , , , , , Ret, , , 0, 
—, Moisés Solana, , , , , , , , , , , , Ret, 0, 
—, Al Pease, , , , , , , , , , DNS, , , 0, 
—, Frank Gardner, , , , , , , , , DNQ, , , , 0, 
Pos., Driver, RSA, ESP, MON, BEL, NED, FRA, GBR, GER, ITA, CAN, USA, MEX, Pts., 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos., Manufacturer, RSA, ESP, MON, BEL, NED, FRA, GBR, GER, ITA, CAN, USA, MEX, Pts.[5], 
1, Lotus-Ford, 1, 1, 1, 5, 9, 11, 1, 2, Ret, 4, 2, 1, 62, 
2, McLaren-Ford, , 2, 5, 1, Ret, 5, 4, 7, 1, 1, 4, 2, 49, 
3, Matra-Ford, 6, 5, Ret, 4, 1, 3, 6, 1, 2, 6, 1, 7, 45, 
4, Ferrari, 4, Ret, , 3, 4, 1, 2, 4, 3, Ret, Ret, Ret, 32, 
5, BRM, Ret, Ret, 2, 2, 3, 6, 8, 6, 4, 3, Ret, 4, 28, 
6, Honda, 8, Ret, Ret, Ret, Ret, 2, 5, Ret, Ret, Ret, 3, 5, 14, 
7, Cooper-BRM, , 3, 3, 6, Ret, 4, Ret, Ret, Ret, 5, NC, 8, 14, 
8, Brabham-Repco, 3, Ret, Ret, Ret, 5, Ret, Ret, 3, Ret, Ret, Ret, 10, 10, 
9, Matra, , , Ret, 8, 2, 9, Ret, Ret, 5, Ret, Ret, 9, 8, 
10, McLaren-BRM, 5, , DNQ, Ret, 8, , Ret, , 6, Ret, NC, , 3, 
—, Cooper-Maserati, 7, , , , , , , , , , , , 0, 
—, Eagle-Weslake, Ret, , Ret, , , , Ret, 9, Ret, , , , 0, 
—, Lola-BMW, , , , , , , , 10, , , , , 0, 
—, Brabham-Climax, NC, , , , , , , , , , , , 0, 
—, LDS-Repco, Ret, , , , , , , , , , , , 0, 
—, Cooper-Climax, Ret, , , , , , , , , , , , 0, 
