Page - https://en.wikipedia.org/wiki/1972_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Argentine Grand Prix, Buenos Aires, 23 January, Carlos Reutemann, Jackie Stewart, Jackie Stewart, Tyrrell-Ford, G, Report, 
2, South African Grand Prix, Kyalami, 4 March, Jackie Stewart, Mike Hailwood, Denny Hulme, McLaren-Ford, G, Report, 
3, Spanish Grand Prix, Jarama, 1 May, Jacky Ickx, Jacky Ickx, Emerson Fittipaldi, Lotus-Ford, F, Report, 
4, Monaco Grand Prix, Monte Carlo, 14 May, Emerson Fittipaldi, Jean-Pierre Beltoise, Jean-Pierre Beltoise, BRM, F, Report, 
5, Belgian Grand Prix, Nivelles-Baulers, 4 June, Emerson Fittipaldi, Chris Amon, Emerson Fittipaldi, Lotus-Ford, F, Report, 
6, French Grand Prix, Charade Circuit, 2 July, Chris Amon, Chris Amon, Jackie Stewart, Tyrrell-Ford, G, Report, 
7, British Grand Prix, Brands Hatch, 15 July, Jacky Ickx, Jackie Stewart, Emerson Fittipaldi, Lotus-Ford, F, Report, 
8, German Grand Prix, Nürburgring, 30 July, Jacky Ickx, Jacky Ickx, Jacky Ickx, Ferrari, F, Report, 
9, Austrian Grand Prix, Österreichring, 13 August, Emerson Fittipaldi, Denny Hulme, Emerson Fittipaldi, Lotus-Ford, F, Report, 
10, Italian Grand Prix, Monza, 10 September, Jacky Ickx, Jacky Ickx, Emerson Fittipaldi, Lotus-Ford, F, Report, 
11, Canadian Grand Prix, Mosport Park, 24 September, Peter Revson, Jackie Stewart, Jackie Stewart, Tyrrell-Ford, G, Report, 
12, United States Grand Prix, Watkins Glen, 8 October, Jackie Stewart, Jackie Stewart, Jackie Stewart, Tyrrell-Ford, G, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Motor Racing Developments, Brabham-Ford, BT33BT34BT37, Ford Cosworth DFV 3.0 V8, G, Graham Hill, All, 
Carlos Reutemann, 1–2, 5–12, 
Wilson Fittipaldi Júnior, 3–12, 
Marlboro BRM, BRM, P160BP153P180P160C, BRM P142 3.0 V12, F, Howden Ganley, 1–6, 8–12, 
Reine Wisell, 1, 3–4, 6, 8, 10, 
Peter Gethin, 1–7, 9–12, 
Alex Soler-Roig, 1, 3, 
Helmut Marko, 1–2, 4–6, 
Jean-Pierre Beltoise, 2–12, 
Vern Schuppan, 5, 
Jackie Oliver, 7, 
Bill Brack, 11, 
Brian Redman, 12, 
Scuderia Ferrari SpA SEFAC, Ferrari, 312B2, Ferrari 001/1 3.0 F12, F, Jacky Ickx, All, 
Clay Regazzoni, 1–5, 8–12, 
Mario Andretti, 1–3, 10, 12, 
Nanni Galli, 6, 
Arturo Merzario, 7–8, 
John Player Team Lotus World Wide Racing, Lotus-Ford, 72D, Ford Cosworth DFV 3.0 V8, F, Emerson Fittipaldi, All, 
David Walker, 1–9, 12, 
Reine Wisell, 11–12, 
STP March Racing Team, March-Ford, 721721X721G, Ford Cosworth DFV 3.0 V8, G, Ronnie Peterson, All, 
Niki Lauda, All, 
Equipe Matra Sports, Matra, MS120CMS120D, Matra MS72 3.0 V12, G, Chris Amon, All, 
Yardley Team McLaren, McLaren-Ford, M19AM19C, Ford Cosworth DFV 3.0 V8, G, Denny Hulme, All, 
Peter Revson, 1–3, 5, 7, 9–12, 
Brian Redman, 4, 6, 8, 
Jody Scheckter, 12, 
Team Surtees Brooke Bond Oxo Team Surtees Ceramica Pagnossin Team Surtees Flame Out Team Surtees, Surtees-Ford, TS9BTS14, Ford Cosworth DFV 3.0 V8, F, Tim Schenken, All, 
Andrea de Adamich, All, 
Mike Hailwood, 2–10, 12, 
John Surtees, 10, 
Elf Team Tyrrell, Tyrrell-Ford, 003002004005006, Ford Cosworth DFV 3.0 V8, G, Jackie Stewart, 1–4, 6–12, 
François Cevert, All, 
Patrick Depailler, 6, 12, 
Team Williams Motul, March-FordPolitoys-Ford, 711721FX3, Ford Cosworth DFV 3.0 V8, G, Henri Pescarolo, All, 
Carlos Pace, 2–12, 
Team Eifelland Caravans, Eifelland-Ford, 21, Ford Cosworth DFV 3.0 V8, G, Rolf Stommelen, 2–9, 
Scribante Lucky Strike Racing, Lotus-Ford, 72D, Ford Cosworth DFV 3.0 V8, F, Dave Charlton, 2, 6–8, 
Team Gunston, Surtees-FordBrabham-Ford, TS9BT33, Ford Cosworth DFV 3.0 V8, F, John Love, 2, 
Willie Ferguson, 2, 
Clarke-Mordaunt-Guthrie Racing, March-Ford, 721G, Ford Cosworth DFV 3.0 V8, F, Mike Beuttler, 3–12, 
Martini Racing, Tecno, PA123/3, Tecno Series-P 3.0 F12, F, Nanni Galli, 5, 7, 9–10, 
Derek Bell, 6, 8, 10–12, 
Darnval Connew Racing Team, Connew-Ford, PC1, Ford Cosworth DFV 3.0 V8, F, François Migault, 7, 9, 
Gene Mason Racing, March-Ford, 711, Ford Cosworth DFV 3.0 V8, F, Skip Barber, 11–12, 
Champcarr Inc., Surtees-Ford, TS9B, Ford Cosworth DFV 3.0 V8, F, Sam Posey, 12, 

Pos, Driver, ARG, RSA, ESP, MON, BEL, FRA, GBR, GER, AUT, ITA, CAN, USA, Points, 
1, Emerson Fittipaldi, Ret, 2, 1, 3, 1, 2, 1, Ret, 1, 1, 11, Ret, 61, 
2, Jackie Stewart, 1, Ret, Ret, 4, , 1, 2, 11, 7, Ret, 1, 1, 45, 
3, Denny Hulme, 2, 1, Ret, 15, 3, 7, 5, Ret, 2, 3, 3, 3, 39, 
4, Jacky Ickx, 3, 8, 2, 2, Ret, 11, Ret, 1, Ret, Ret, 12, 5, 27, 
5, Peter Revson, Ret, 3, 5, , 7, , 3, , 3, 4, 2, 18, 23, 
6, François Cevert, Ret, 9, Ret, NC, 2, 4, Ret, 10, 9, Ret, Ret, 2, 15, 
7, Clay Regazzoni, 4, 12, 3, Ret, Ret, , , 2, Ret, Ret, 5, 8, 15, 
8, Mike Hailwood, , Ret, Ret, Ret, 4, 6, Ret, Ret, 4, 2, , 17, 13, 
9, Ronnie Peterson, 6, 5, Ret, 11, 9, 5, 7, 3, 12, 9, DSQ, 4, 12, 
10, Chris Amon, DNS, 15, Ret, 6, 6, 3, 4, 15, 5, Ret, 6, 15, 12, 
11, Jean-Pierre Beltoise, , Ret, Ret, 1, Ret, 15, 11, 9, 8, 8, Ret, Ret, 9, 
12, Mario Andretti, Ret, 4, Ret, , , , , , , 7, , 6, 4, 
13, Howden Ganley, 9, NC, Ret, Ret, 8, DNS, , 4, 6, 11, 10, Ret, 4, 
14, Brian Redman, , , , 5, , 9, , 5, , , , Ret, 4, 
15, Graham Hill, Ret, 6, 10, 12, Ret, 10, Ret, 6, Ret, 5, 8, 11, 4, 
16, Carlos Reutemann, 7, Ret, , , 13, 12, 8, Ret, Ret, Ret, 4, Ret, 3, 
17, Andrea de Adamich, Ret, NC, 4, 7, Ret, 14, Ret, 13, 14, Ret, Ret, Ret, 3, 
18, Carlos Pace, , 17, 6, 17, 5, Ret, Ret, NC, NC, Ret, 9, Ret, 3, 
19, Tim Schenken, 5, Ret, 8, Ret, Ret, 17, Ret, 14, 11, Ret, 7, Ret, 2, 
20, Arturo Merzario, , , , , , , 6, 12, , , , , 1, 
21, Peter Gethin, Ret, NC, Ret, Ret, Ret, DNS, Ret, , 13, 6, Ret, Ret, 1, 
—, Wilson Fittipaldi, , , 7, 9, Ret, 8, 12, 7, Ret, Ret, Ret, Ret, 0, 
—, Niki Lauda, 11, 7, Ret, 16, 12, Ret, 9, Ret, 10, 13, DSQ, NC, 0, 
—, Patrick Depailler, , , , , , NC, , , , , , 7, 0, 
—, Helmut Marko, 10, 14, , 8, 10, Ret, , , , , , , 0, 
—, Mike Beuttler, , , DNQ, 13, Ret, 19, 13, 8, Ret, 10, NC, 13, 0, 
—, Henri Pescarolo, 8, 11, 11, Ret, NC, DNS, Ret, Ret, DNS, DNQ, 13, 14, 0, 
—, David Walker, DSQ, 10, 9, 14, 14, 18, Ret, Ret, Ret, , , Ret, 0, 
—, Jody Scheckter, , , , , , , , , , , , 9, 0, 
—, Rolf Stommelen, , 13, Ret, 10, 11, 16, 10, Ret, 15, , , , 0, 
—, Reine Wisell, Ret, , Ret, Ret, , Ret, , Ret, , 12, Ret, 10, 0, 
—, Sam Posey, , , , , , , , , , , , 12, 0, 
—, Nanni Galli, , , , , Ret, 13, Ret, , NC, Ret, , , 0, 
—, Skip Barber, , , , , , , , , , , NC, 16, 0, 
—, John Love, , 16, , , , , , , , , , , 0, 
—, Dave Charlton, , Ret, , , , DNQ, Ret, Ret, , , , , 0, 
—, Derek Bell, , , , , , DNS, , Ret, , DNQ, DNS, Ret, 0, 
—, Alex Soler-Roig, Ret, , Ret, , , , , , , , , , 0, 
—, Jackie Oliver, , , , , , , Ret, , , , , , 0, 
—, François Migault, , , , , , , DNS, , Ret, , , , 0, 
—, John Surtees, , , , , , , , , , Ret, , DNS, 0, 
—, Bill Brack, , , , , , , , , , , Ret, , 0, 
—, William Ferguson, , DNS, , , , , , , , , , , 0, 
—, Vern Schuppan, , , , , DNS, , , , , , , , 0, 
Pos, Driver, ARG, RSA, ESP, MON, BEL, FRA, GBR, GER, AUT, ITA, CAN, USA, Points, 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos., Manufacturer, ARG, RSA, ESP, MON, BEL, FRA, GBR, GER, AUT, ITA, CAN, USA, Pts.[3], 
1, Lotus-Ford, Ret, 2, 1, 3, 1, 2, 1, Ret, 1, 1, 11, 10, 61, 
2, Tyrrell-Ford, 1, 9, Ret, 4, 2, 1, 2, 10, 7, Ret, 1, 1, 51, 
3, McLaren-Ford, 2, 1, 5, 5, 3, 7, 3, (5), 2, 3, 2, 3, 47 (49), 
4, Ferrari, 3, 4, 2, 2, Ret, 11, 6, 1, Ret, 7, 5, 5, 33, 
5, Surtees-Ford, 5, 16, 4, 7, 4, 6, Ret, 13, 4, 2, 7, 12, 18, 
