Page - https://en.wikipedia.org/wiki/1973_Formula_One_season

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
John Player Team Lotus, Lotus-Ford, 72D72E, Ford Cosworth DFV 3.0 V8, G, Emerson Fittipaldi, All, 
Ronnie Peterson, All, 
Elf Team Tyrrell, Tyrrell-Ford, 005006, Ford Cosworth DFV 3.0 V8, G, Jackie Stewart, All, 
François Cevert, All, 
Chris Amon, 14–15, 
Motor Racing Developments Ceramica Pagnossin MRD, Brabham-Ford, BT37BT42, Ford Cosworth DFV 3.0 V8, G, Carlos Reutemann, All, 
Wilson Fittipaldi, All, 
Andrea de Adamich, 4–6, 8–9, 
Rolf Stommelen, 11–14, 
John Watson, 9, 15, 
Yardley Team McLaren, McLaren-Ford, M19AM19CM23, Ford Cosworth DFV 3.0 V8, G, Denny Hulme, All, 
Peter Revson, 1–7, 9–15, 
Jody Scheckter, 3, 8–9, 14–15, 
Jacky Ickx, 11, 
Scuderia Ferrari SpA SEFAC, Ferrari, 312B2312B3, Ferrari 001/1 3.0 F12Ferrari 001/11 3.0 F12, G, Jacky Ickx, 1–9, 13, 
Arturo Merzario, 1–3, 6, 8, 12–15, 
Clarke-Mordaunt-Guthrie Racing Team Pierre Robert, March-Ford, 721G731, Ford Cosworth DFV 3.0 V8, FG, Mike Beuttler, 1–7, 9–15, 
Reine Wisell, 7–8, 
STP March Racing Team, March-Ford, 721G731, Ford Cosworth DFV 3.0 V8, G, Jean-Pierre Jarier, 1–3, 5–8, 12, 14–15, 
Henri Pescarolo, 4, 
Roger Williamson, 9–10, 
Team Surtees Brooke Bond Oxo Team Surtees Ceramica Pagnossin Team Surtees, Surtees-Ford, TS9ATS9BTS14A, Ford Cosworth DFV 3.0 V8, F, Mike Hailwood, All, 
Carlos Pace, All, 
Luiz Bueno, 2, 
Andrea de Adamich, 3, 
Jochen Mass, 9, 11, 15, 
Marlboro BRM, BRM, P160CP160D, BRM P142 3.0 V12, F, Jean-Pierre Beltoise, All, 
Clay Regazzoni, 1–13, 15, 
Niki Lauda, All, 
Peter Gethin, 14, 
Frank Williams Racing Cars, Iso-Marlboro-Ford, FX3BIR, Ford Cosworth DFV 3.0 V8, F, Nanni Galli, 1–2, 4–6, 
Howden Ganley, All, 
Jackie Pretorius, 3, 
Tom Belsø, 7, 
Henri Pescarolo, 8, 11, 
Graham McRae, 9, 
Gijs van Lennep, 10, 12–13, 
Tim Schenken, 14, 
Jacky Ickx, 15, 
UOP Shadow Racing Team, Shadow-Ford, DN1, Ford Cosworth DFV 3.0 V8, G, Jackie Oliver, 3–15, 
George Follmer, 3–15, 
Brian Redman, 15, 
Scribante Lucky Strike Racing, Lotus-Ford, 72D, Ford Cosworth DFV 3.0 V8, F, Dave Charlton, 3, 
Blignaut Lucky Strike Racing, Tyrrell-Ford, 004, Ford Cosworth DFV 3.0 V8, G, Eddie Keizan, 3, 
Embassy Racing, Shadow-Ford, DN1, Ford Cosworth DFV 3.0 V8, G, Graham Hill, 4–15, 
Martini Racing Team, Tecno, PA123/6, Tecno Series-P 3.0 F12, F, Chris Amon, 5–6, 9–10, 12, 
LEC Refrigeration Racing, March-Ford, 731, Ford Cosworth DFV 3.0 V8, G, David Purley, 6, 9–11, 13, 
Hesketh Racing, March-Ford, 731, Ford Cosworth DFV 3.0 V8, G, James Hunt, 6, 8–10, 12–15, 
Team Ensign, Ensign-Ford, N173, Ford Cosworth DFV 3.0 V8, F, Rikky von Opel, 8–10, 12–15, 

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Argentine Grand Prix, Buenos Aires, 28 January, Clay Regazzoni, Emerson Fittipaldi, Emerson Fittipaldi, Lotus-Ford, G, Report, 
2, Brazilian Grand Prix, Interlagos, 11 February, Ronnie Peterson, Emerson Fittipaldi Denny Hulme, Emerson Fittipaldi, Lotus-Ford, G, Report, 
3, South African Grand Prix, Kyalami, 3 March, Denny Hulme, Emerson Fittipaldi, Jackie Stewart, Tyrrell-Ford, G, Report, 
4, Spanish Grand Prix, Montjuïc, 29 April, Ronnie Peterson, Ronnie Peterson, Emerson Fittipaldi, Lotus-Ford, G, Report, 
5, Belgian Grand Prix, Zolder, 20 May, Ronnie Peterson, François Cevert, Jackie Stewart, Tyrrell-Ford, G, Report, 
6, Monaco Grand Prix, Monaco, 3 June, Jackie Stewart, Emerson Fittipaldi, Jackie Stewart, Tyrrell-Ford, G, Report, 
7, Swedish Grand Prix, Anderstorp, 17 June, Ronnie Peterson, Denny Hulme, Denny Hulme, McLaren-Ford, G, Report, 
8, French Grand Prix, Paul Ricard, 1 July, Jackie Stewart, Denny Hulme, Ronnie Peterson, Lotus-Ford, G, Report, 
9, British Grand Prix, Silverstone, 14 July, Ronnie Peterson, James Hunt, Peter Revson, McLaren-Ford, G, Report, 
10, Dutch Grand Prix, Zandvoort, 29 July, Ronnie Peterson, Ronnie Peterson, Jackie Stewart, Tyrrell-Ford, G, Report, 
11, German Grand Prix, Nürburgring, 5 August, Jackie Stewart, Carlos Pace, Jackie Stewart, Tyrrell-Ford, G, Report, 
12, Austrian Grand Prix, Österreichring, 19 August, Emerson Fittipaldi, Carlos Pace, Ronnie Peterson, Lotus-Ford, G, Report, 
13, Italian Grand Prix, Monza, 9 September, Ronnie Peterson, Jackie Stewart, Ronnie Peterson, Lotus-Ford, G, Report, 
14, Canadian Grand Prix, Mosport Park, 23 September, Ronnie Peterson, Emerson Fittipaldi, Peter Revson, McLaren-Ford, G, Report, 
15, United States Grand Prix, Watkins Glen, 7 October, Ronnie Peterson, James Hunt, Ronnie Peterson, Lotus-Ford, G, Report, 

Pos., Driver, ARG, BRA, RSA, ESP, BEL, MON, SWE, FRA, GBR, NED, GER, AUT, ITA, CAN, USA, Points, 
1, Jackie Stewart, 3, 2, 1, Ret, 1, 1, 5, 4, 10, 1, 1, 2, 4, 5, DNS, 71, 
2, Emerson Fittipaldi, 1, 1, 3, 1, 3, 2, 12, Ret, Ret, Ret, 6, Ret, 2, 2, 6, 55, 
3, Ronnie Peterson, Ret, Ret, 11, Ret, Ret, 3, 2, 1, 2, 11, Ret, 1, 1, Ret, 1, 52, 
4, François Cevert, 2, 10, NC, 2, 2, 4, 3, 2, 5, 2, 2, Ret, 5, Ret, DNS, 47, 
5, Peter Revson, 8, Ret, 2, 4, Ret, 5, 7, , 1, 4, 9, Ret, 3, 1, 5, 38, 
6, Denny Hulme, 5, 3, 5, 6, 7, 6, 1, 8, 3, Ret, 12, 8, 15, 13, 4, 26, 
7, Carlos Reutemann, Ret, 11, 7, Ret, Ret, Ret, 4, 3, 6, Ret, Ret, 4, 6, 8, 3, 16, 
8, James Hunt, , , , , , 9, , 6, 4, 3, , Ret, DNS, 7, 2, 14, 
9, Jacky Ickx, 4, 5, Ret, 12, Ret, Ret, 6, 5, 8, , 3, , 8, , 7, 12, 
10, Jean-Pierre Beltoise, Ret, Ret, Ret, 5, Ret, Ret, Ret, 11, Ret, 5, Ret, 5, 13, 4, 9, 9, 
11, Carlos Pace, Ret, Ret, Ret, Ret, 8, Ret, 10, 13, Ret, 7, 4, 3, Ret, 18, Ret, 7, 
12, Arturo Merzario, 9, 4, 4, , , Ret, , 7, , , , 7, Ret, 15, 16, 6, 
13, George Follmer, , , 6, 3, Ret, DNS, 14, Ret, Ret, 10, Ret, Ret, 10, 17, 14, 5, 
14, Jackie Oliver, , , Ret, Ret, Ret, 10, Ret, Ret, Ret, Ret, 8, Ret, 11, 3, 15, 4, 
15, Andrea de Adamich, , , 8, Ret, 4, 7, , Ret, Ret, , , , , , , 3, 
=[1], Wilson Fittipaldi Júnior, 6, Ret, Ret, 10, Ret, 11, Ret, 16, Ret, Ret, 5, Ret, Ret, 11, NC, 3, 
17, Niki Lauda, Ret, 8, Ret, Ret, 5, Ret, 13, 9, 12, Ret, Ret, DNS, Ret, Ret, Ret, 2, 
=[1], Clay Regazzoni, 7, 6, Ret, 9, 10, Ret, 9, 12, 7, 8, Ret, 6, Ret, , 8, 2, 
19, Chris Amon, , , , , 6, Ret, , , Ret, Ret, , DNS, , 10, DNS, 1, 
=[1], Gijs van Lennep, , , , , , , , , , 6, , 9, Ret, , , 1, 
=[1], Howden Ganley, NC, 7, 10, Ret, Ret, Ret, 11, 14, 9, 9, DNS, NC, NC, 6, 12, 1, 
—, Mike Hailwood, Ret, Ret, Ret, Ret, Ret, 8, Ret, Ret, Ret, Ret, 14, 10, 7, 9, Ret, 0, 
—, Mike Beuttler, 10, Ret, NC, 7, 11, Ret, 8, , 11, Ret, 16, Ret, Ret, Ret, 10, 0, 
—, Jochen Mass, , , , , , , , , Ret, , 7, , , , Ret, 0, 
—, Henri Pescarolo, , , , 8, , , , Ret, , , 10, , , , , 0, 
—, Graham Hill, , , , Ret, 9, Ret, Ret, 10, Ret, NC, 13, Ret, 14, 16, 13, 0, 
—, Nanni Galli, Ret, 9, , 11, Ret, Ret, , , , , , , , , , 0, 
—, David Purley, , , , , , Ret, , , DNS, Ret, 15, , 9, , , 0, 
—, Jody Scheckter, , , 9, , , , , Ret, Ret, , , , , Ret, Ret, 0, 
—, Rolf Stommelen, , , , , , , , , , , 11, Ret, 12, 12, , 0, 
—, Jean-Pierre Jarier, Ret, Ret, NC, , Ret, Ret, Ret, Ret, , , , Ret, , NC, 11, 0, 
—, Luiz Bueno, , 12, , , , , , , , , , , , , , 0, 
—, Rikky von Opel, , , , , , , , 15, 13, DNS, , Ret, Ret, NC, Ret, 0, 
—, Tim Schenken, , , , , , , , , , , , , , 14, , 0, 
—, Eddie Keizan, , , NC, , , , , , , , , , , , , 0, 
—, Roger Williamson, , , , , , , , , Ret, Ret, , , , , , 0, 
—, John Watson, , , , , , , , , Ret, , , , , , Ret, 0, 
—, Reine Wisell, , , , , , , DNS, Ret, , , , , , , , 0, 
—, Dave Charlton, , , Ret, , , , , , , , , , , , , 0, 
—, Jackie Pretorius, , , Ret, , , , , , , , , , , , , 0, 
—, Graham McRae, , , , , , , , , Ret, , , , , , , 0, 
—, Peter Gethin, , , , , , , , , , , , , , Ret, , 0, 
—, Brian Redman, , , , , , , , , , , , , , , DSQ, 0, 
—, Tom Belsø, , , , , , , DNS, , , , , , , , , 0, 
Pos, Driver, ARG, BRA, RSA, ESP, BEL, MON, SWE, FRA, GBR, NED, GER, AUT, ITA, CAN, USA, Points, 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos., Manufacturer, ARG, BRA, RSA, ESP, BEL, MON, SWE, FRA, GBR, NED, GER, AUT, ITA, CAN, USA, Pts., 
1, Lotus-Ford [6], 1, 1, 3, 1, (3), 2, 2, 1, 2, 11, 6, 1, 1, 2, 1, 92 (96), 
2, Tyrrell-Ford, 2, 2, 1, 2, 1, 1, (3), 2, 5, 1, 1, 2, 4, 5, DNS, 82 (86), 
3, McLaren-Ford, 5, 3, 2, 4, 7, 5, 1, 8, 1, 4, 3, 8, 3, 1, 4, 58, 
4, Brabham-Ford, 6, 11, 7, 10, 4, 7, 4, 3, 6, Ret, 5, 4, 6, 8, 3, 22, 
