Page - https://en.wikipedia.org/wiki/1975_Formula_One_season

Entrant, Constructor, Chassis, Engine, Tyre, No, Driver, Rounds, 
Marlboro Team McLaren, McLaren-Ford, M23, Ford Cosworth DFV 3.0 V8, G, 1, Emerson Fittipaldi, All, 
2, Jochen Mass, All, 
Elf Team Tyrrell, Tyrrell-Ford, 007, Ford Cosworth DFV 3.0 V8, G, 3, Jody Scheckter, All, 
4, Patrick Depailler, All, 
15, Jean-Pierre Jabouille, 9, 
Michel Leclère, 14, 
John Player Team Lotus, Lotus-Ford, 72E, Ford Cosworth DFV 3.0 V8, G, 5, Ronnie Peterson, All, 
6, Jacky Ickx, 1–9, 
Jim Crawford, 10, 13, 
John Watson, 11, 
Brian Henton, 12, 14, 
15, 10, 
Martini Racing, Brabham-Ford, BT44B, Ford Cosworth DFV 3.0 V8, G, 7, Carlos Reutemann, All, 
8, Carlos Pace, All, 
Beta Team March Lavazza March, March-Ford, 741751, Ford Cosworth DFV 3.0 V8, G, 9, Vittorio Brambilla, All, 
10, Lella Lombardi, 3–9, 
Hans-Joachim Stuck, 10–14, 
29, Lella Lombardi, 10–13, 
Scuderia Ferrari SpA SEFAC, Ferrari, 312B3-74312T, Ferrari 001/11 3.0 F12Ferrari 015 3.0 F12, G, 11, Clay Regazzoni, All, 
12, Niki Lauda, All, 
Stanley BRM, BRM, P201, BRM P200 3.0 V12, G, 14, Mike Wilds, 1–2, 
Bob Evans, 3–9, 12–13, 
UOP Shadow Racing Team, Shadow-Ford, DN3BDN5, Ford Cosworth DFV 3.0 V8, G, 16, Tom Pryce, All, 
17, Jean-Pierre Jarier, 1–11, 14, 
Shadow-Matra, DN7, Matra MS73 3.0 V12, 12–13, 
Team Surtees National Organs Team Surtees, Surtees-Ford, TS16, Ford Cosworth DFV 3.0 V8, G, 18, John Watson, 1–10, 12, 
19, Dave Morgan, 10, 
Frank Williams Racing Cars, Williams-Ford, FWFW04, Ford Cosworth DFV 3.0 V8, G, 20, Arturo Merzario, 1–6, 
Damien Magee, 7, 
Ian Scheckter, 8, 
François Migault, 9, 
Ian Ashley, 11, 
Jo Vonlanthen, 12, 
Renzo Zorzi, 13, 
Lella Lombardi, 14, 
21, Ian Scheckter, 7, 
Jacques Laffite, 1–3, 5–6, 8–14, 
Tony Brise, 4, 
Embassy Racing with Graham Hill, Lola-Ford, T370T371, Ford Cosworth DFV 3.0 V8, G, 22, Graham Hill, 1–3, 5, 
23, Rolf Stommelen, 1–3, 
Hill-Ford, GH1, 22, 4, 12–13, 
François Migault, 6, 
Vern Schuppan, 7, 
Alan Jones, 8–11, 
23, François Migault, 4, 
Graham Hill, 5, 
Tony Brise, 6–14, 
Hesketh Racing Warsteiner Brewery Polar Caravans, Hesketh-Ford, 308308B308C, Ford Cosworth DFV 3.0 V8, G, 24, James Hunt, All, 
25, Torsten Palm, 5, 
Harald Ertl, 11, 
Brett Lunger, 12–14, 
32, Torsten Palm, 7, 
Harald Ertl, 12, 
34, 13, 
Custom Made Harry Stiller Racing, Hesketh-Ford, 308B, Ford Cosworth DFV 3.0 V8, G, 25, Alan Jones, 4, 
26, 5–7, 
Vel's Parnelli Jones Racing, Parnelli-Ford, VPJ4, Ford Cosworth DFV 3.0 V8, FG, 27, Mario Andretti, 1–5, 7, 9–14, 
Penske Cars, March-Ford, 751, Ford Cosworth DFV 3.0 V8, G, 28, Mark Donohue, 10–12, 
Penske-Ford, PC1, 1–9, 
John Watson, 14, 
Copersucar-Fittipaldi, Fittipaldi-Ford, FD01FD02FD03, Ford Cosworth DFV 3.0 V8, G, 30, Wilson Fittipaldi, 1–12, 14, 
Arturo Merzario, 13, 
Lucky Strike Racing, McLaren-Ford, M23, Ford Cosworth DFV 3.0 V8, G, 31, Dave Charlton, 3, 
HB Bewaking Team Ensign, Ensign-Ford, N174N175, Ford Cosworth DFV 3.0 V8, G, 31, Roelof Wunderink, 4–5, 10, 13–14, 
Gijs van Lennep, 8–9, 11, 
Chris Amon, 12, 
32, 13, 
33, Roelof Wunderink, 12, 
Lexington Racing, Tyrrell-Ford, 007, Ford Cosworth DFV 3.0 V8, G, 32, Ian Scheckter, 3, 
Pinch Plant (Ltd), Lyncar-Ford, 006, Ford Cosworth DFV 3.0 V8, G, 32, John Nicholson, 10, 
Team Gunston, Lotus-Ford, 72E, Ford Cosworth DFV 3.0 V8, G, 33, Eddie Keizan, 3, 
34, Guy Tunmer, 3, 
Maki Engineering, Maki-Ford, F101B, Ford Cosworth DFV 3.0 V8, G, 35, Hiroshi Fushida, 8, 10, 
Tony Trimmer, 11–13, 

Rnd, Race, Date, Circuit, Pole Position, Fastest Lap, Race Winner, Constructor, Report, 
1, Argentine Grand Prix, 12 January, Buenos Aires, Jean-Pierre Jarier, James Hunt, Emerson Fittipaldi, McLaren-Ford, Report, 
2, Brazilian Grand Prix, 26 January, Interlagos, Jean-Pierre Jarier, Jean-Pierre Jarier, Carlos Pace, Brabham-Ford, Report, 
3, South African Grand Prix, 1 March, Kyalami, Carlos Pace, Carlos Pace, Jody Scheckter, Tyrrell-Ford, Report, 
4, Spanish Grand Prix, 27 April, Montjuïc, Niki Lauda, Mario Andretti, Jochen Mass, McLaren-Ford, Report, 
5, Monaco Grand Prix, 11 May, Monaco, Niki Lauda, Patrick Depailler, Niki Lauda, Ferrari, Report, 
6, Belgian Grand Prix, 25 May, Zolder, Niki Lauda, Clay Regazzoni, Niki Lauda, Ferrari, Report, 
7, Swedish Grand Prix, 8 June, Anderstorp, Vittorio Brambilla, Niki Lauda, Niki Lauda, Ferrari, Report, 
8, Dutch Grand Prix, 22 June, Zandvoort, Niki Lauda, Niki Lauda, James Hunt, Hesketh-Ford, Report, 
9, French Grand Prix, 6 July, Paul Ricard, Niki Lauda, Jochen Mass, Niki Lauda, Ferrari, Report, 
10, British Grand Prix, 19 July, Silverstone, Tom Pryce, Clay Regazzoni, Emerson Fittipaldi, McLaren-Ford, Report, 
11, German Grand Prix, 3 August, Nürburgring, Niki Lauda, Clay Regazzoni, Carlos Reutemann, Brabham-Ford, Report, 
12, Austrian Grand Prix, 17 August, Österreichring, Niki Lauda, Vittorio Brambilla, Vittorio Brambilla, March-Ford, Report, 
13, Italian Grand Prix, 7 September, Monza, Niki Lauda, Clay Regazzoni, Clay Regazzoni, Ferrari, Report, 
14, United States Grand Prix, 5 October, Watkins Glen, Niki Lauda, Emerson Fittipaldi, Niki Lauda, Ferrari, Report, 

Pos, Driver, ARG, BRA, RSA, ESP‡, MON, BEL, SWE, NED, FRA, GBR, GER, AUT‡, ITA, USA, Pts, 
1, Niki Lauda, 6, 5, 5, Ret, 1, 1, 1, 2, 1, 8, 3, 6, 3, 1, 64.5, 
2, Emerson Fittipaldi, 1, 2, NC, DNS, 2, 7, 8, Ret, 4, 1, Ret, 9, 2, 2, 45, 
3, Carlos Reutemann, 3, 8, 2, 3, 9, 3, 2, 4, 14, Ret, 1, 14, 4, Ret, 37, 
4, James Hunt, 2, 6, Ret, Ret, Ret, Ret, Ret, 1, 2, 4, Ret, 2, 5, 4, 33, 
5, Clay Regazzoni, 4, 4, 16, NC, Ret, 5, 3, 3, Ret, 13, Ret, 7, 1, Ret, 25, 
6, Carlos Pace, Ret, 1, 4, Ret, 3, 8, Ret, 5, Ret, 2, Ret, Ret, Ret, Ret, 24, 
7, Jody Scheckter, 11, Ret, 1, Ret, 7, 2, 7, 16, 9, 3, Ret, 8, 8, 6, 20, 
8, Jochen Mass, 14, 3, 6, 1, 6, Ret, Ret, Ret, 3, 7, Ret, 4, Ret, 3, 20, 
9, Patrick Depailler, 5, Ret, 3, Ret, 5, 4, 12, 9, 6, 9, 9, 11, 7, Ret, 12, 
10, Tom Pryce, 12, Ret, 9, Ret, Ret, 6, Ret, 6, Ret, Ret, 4, 3, 6, NC, 8, 
11, Vittorio Brambilla, 9, Ret, Ret, 5, Ret, Ret, Ret, Ret, Ret, 6, Ret, 1, Ret, 7, 6.5, 
12, Jacques Laffite, Ret, 11, NC, , DNQ, Ret, , Ret, 11, Ret, 2, Ret, Ret, DNS, 6, 
13, Ronnie Peterson, Ret, 15, 10, Ret, 4, Ret, 9, 15, 10, Ret, Ret, 5, Ret, 5, 6, 
14, Mario Andretti, Ret, 7, 17, Ret, Ret, , 4, , 5, 12, 10, Ret, Ret, Ret, 5, 
15, Mark Donohue, 7, Ret, 8, Ret, Ret, 11, 5, 8, Ret, 5, Ret, DNS, , , 4, 
16, Jacky Ickx, 8, 9, 12, 2, 8, Ret, 15, Ret, Ret, , , , , , 3, 
17, Alan Jones, , , , Ret, Ret, Ret, 11, 13, 16, 10, 5, , , , 2, 
18, Jean-Pierre Jarier, DNS, Ret, Ret, 4, Ret, Ret, Ret, Ret, 8, 14, Ret, Ret, Ret, Ret, 1.5, 
19, Tony Brise, , , , 7, , Ret, 6, 7, 7, 15, Ret, 15, Ret, Ret, 1, 
20, Gijs van Lennep, , , , , , , , 10, 15, , 6, , , , 1, 
21, Lella Lombardi, , , Ret, 6, DNQ, Ret, Ret, 14, 18, Ret, 7, 17, Ret, DNS, 0.5, 
—, Rolf Stommelen, 13, 14, 7, Ret, , , , , , , , 16, Ret, , 0, 
—, John Watson, DSQ, 10, Ret, 8, Ret, 10, 16, Ret, 13, 11, Ret, 10, , 9, 0, 
—, Harald Ertl, , , , , , , , , , , 8, Ret, 9, , 0, 
—, Hans-Joachim Stuck, , , , , , , , , , Ret, Ret, Ret, Ret, 8, 0, 
—, Bob Evans, , , 15, Ret, DNQ, 9, 13, Ret, 17, , , Ret, Ret, , 0, 
—, Wilson Fittipaldi, Ret, 13, DNQ, Ret, DNQ, 12, 17, 11, Ret, 19, Ret, DNS, , 10, 0, 
—, Graham Hill, 10, 12, DNQ, , DNQ, , , , , , , , , , 0, 
—, Brett Lunger, , , , , , , , , , , , 13, 10, Ret, 0, 
—, Torsten Palm, , , , , DNQ, , 10, , , , , , , , 0, 
—, Arturo Merzario, NC, Ret, Ret, Ret, DNQ, Ret, , , , , , , 11, , 0, 
—, Guy Tunmer, , , 11, , , , , , , , , , , , 0, 
—, Chris Amon, , , , , , , , , , , , 12, 12, , 0, 
—, Ian Scheckter, , , Ret, , , , Ret, 12, , , , , , , 0, 
—, Jean-Pierre Jabouille, , , , , , , , , 12, , , , , , 0, 
—, Jim Crawford, , , , , , , , , , Ret, , , 13, , 0, 
—, Eddie Keizan, , , 13, , , , , , , , , , , , 0, 
—, Dave Charlton, , , 14, , , , , , , , , , , , 0, 
—, Damien Magee, , , , , , , 14, , , , , , , , 0, 
—, Renzo Zorzi, , , , , , , , , , , , , 14, , 0, 
—, Brian Henton, , , , , , , , , , 16, , DNS, , NC, 0, 
—, John Nicholson, , , , , , , , , , 17, , , , , 0, 
—, Dave Morgan, , , , , , , , , , 18, , , , , 0, 
—, Roelof Wunderink, , , , Ret, DNQ, , , , , DNQ, , NC, DNQ, Ret, 0, 
—, François Migault, , , , NC, , Ret, , , DNS, , , , , , 0, 
—, Mike Wilds, Ret, Ret, , , , , , , , , , , , , 0, 
—, Vern Schuppan, , , , , , , Ret, , , , , , , , 0, 
—, Ian Ashley, , , , , , , , , , , DNS, , , , 0, 
—, Jo Vonlanthen, , , , , , , , , , , , Ret, , , 0, 
—, Michel Leclère, , , , , , , , , , , , , , Ret, 0, 
—, Hiroshi Fushida, , , , , , , , DNS, , DNQ, , , , , 0, 
—, Tony Trimmer, , , , , , , , , , , DNQ, DNQ, DNQ, , 0, 
Pos, Driver, ARG, BRA, RSA, ESP‡, MON, BEL, SWE, NED, FRA, GBR, GER, AUT‡, ITA, USA, Pts, 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos, Constructor, ARG, BRA, RSA, ESP‡, MON, BEL, SWE, NED, FRA, GBR, GER, AUT‡, ITA, USA, Pts[11], 
1, Ferrari, 4, 4, 5, NC, 1, 1, 1, 2, 1, 8, 3, 6, 1, 1, 72.5, 
2, Brabham-Ford, 3, 1, 2, (3), 3, 3, 2, 4, 14, 2, 1, 14, 4, Ret, 54 (56), 
3, McLaren-Ford, 1, 2, 6, 1, 2, 7, 8, Ret, 3, 1, Ret, 4, 2, 2, 53, 
4, Hesketh-Ford, 2, 6, Ret, Ret, Ret, Ret, 10, 1, 2, 4, 8, 2, 5, 4, 33, 
5, Tyrrell-Ford, 5, Ret, 1, Ret, 5, 2, 7, 9, 6, 3, 9, 8, 7, 6, 25, 
6, Shadow-Ford, 12, Ret, 9, 4, Ret, 6, Ret, 6, 8, 14, 4, 3, 6, NC, 9.5, 
7, Lotus-Ford, 8, 9, 10, 2, 4, Ret, 9, 15, 10, 16, Ret, 5, 13, 5, 9, 
